DroneID,Brand,Category,SubCategory,DroneType,BuildLevel,FrameSize_Inch,Wheelbase_mm,MotorSize,PropellerSize,BatterySpec,FlightController,Firmware,PayloadSupport,MaxTakeoffWeight_kg,IntendedUse,Notes
DRN-0140,BetaFPV,Kits & RTF,Complete UAV,FPV Freestyle Drone,BNF,2,260,1507,10 inch,4S 1300mAh,F405 Stack,Betaflight,Camera,4.56,Mapping / Survey,
DRN-0141,HGLRC,Kits & RTF,Complete UAV,Explorer UAV,BNF,5,180,2806.5,6 inch,4S 1300mAh,F7 Flight Controller,INAV,None,6.17,Racing,
DRN-0142,Skydroid,Kits & RTF,Complete UAV,Long Range Drone,DIY Kit,4,110,2806.5,7 inch,6S 1500mAh,F7 Flight Controller,INAV,Survey Camera,6.18,Freestyle FPV,
DRN-0143,ImpulseRC,Kits & RTF,Complete UAV,Explorer UAV,RTF,8,180,2407,8 inch,6S 1500mAh,H7 Flight Controller,INAV,Survey Camera,1.44,Mapping / Survey,
DRN-0144,DJI,Kits & RTF,Complete UAV,Industrial Survey Drone,RTF,2.5,140,2205,8 inch,4S 1300mAh,F7 Flight Controller,Betaflight,None,1.38,Industrial Inspection,
DRN-0145,Autel,Kits & RTF,Complete UAV,Racing Drone,RTF,5,85,1404,2 inch,6S 1500mAh,F7 Flight Controller,Betaflight,GoPro,5.06,Industrial Inspection,
DRN-0146,Skydroid,Kits & RTF,Complete UAV,FPV Freestyle Drone,RTF,2.5,110,2306,4 inch,Li-ion 6S 4000mAh,F405 Stack,Betaflight,None,1.79,Industrial Inspection,
DRN-0147,Diatone,Kits & RTF,Complete UAV,Cinewhoop Drone,RTF,3.5,300,1404,2 inch,6S 1300mAh,F4 Flight Controller,INAV,None,1.9,Mapping / Survey,
DRN-0148,DJI,Kits & RTF,Complete UAV,FPV Freestyle Drone,DIY Kit,5,85,1806,10 inch,4S 1300mAh,F405 Stack,Betaflight,Camera,3.88,Racing,
DRN-0149,Holybro,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,2,140,1507,5 inch,4S 1300mAh,F405 Stack,INAV,GoPro,5.09,Mapping / Survey,
DRN-0150,Autel,Kits & RTF,Complete UAV,Racing Drone,RTF,4,140,1507,8 inch,4S 1500mAh,F405 Stack,INAV,None,2.35,Long Range FPV,
DRN-0151,GEPRC,Kits & RTF,Complete UAV,Racing Drone,BNF,2.5,75,2207,6 inch,6S 1500mAh,F4 Flight Controller,Betaflight,GoPro,5.09,Industrial Inspection,
DRN-0152,iFlight,Kits & RTF,Complete UAV,Explorer UAV,RTF,10,85,2205,5 inch,4S 1300mAh,F4 Flight Controller,Ardupilot,Survey Camera,2.86,Long Range FPV,
DRN-0153,Holybro,Kits & RTF,Complete UAV,FPV Freestyle Drone,DIY Kit,3,85,1806,4 inch,6S 1500mAh,F4 Flight Controller,Betaflight,Survey Camera,6.46,Mapping / Survey,
DRN-0154,AxisFlying,Kits & RTF,Complete UAV,Industrial Survey Drone,DIY Kit,8,140,2806.5,3 inch,3S 850mAh,F405 Stack,Betaflight,None,4.15,Long Range FPV,
DRN-0155,HGLRC,Kits & RTF,Complete UAV,Long Range Drone,RTF,5,300,1103,4 inch,6S 1300mAh,F7 Flight Controller,INAV,Survey Camera,2.68,Racing,
DRN-0156,Flywoo,Kits & RTF,Complete UAV,Industrial Survey Drone,RTF,2,120,1507,6 inch,6S 1300mAh,F405 Stack,INAV,None,4.76,Long Range FPV,
DRN-0157,ImpulseRC,Kits & RTF,Complete UAV,FPV Freestyle Drone,RTF,3.5,110,2806.5,2 inch,3S 850mAh,F405 Stack,Ardupilot,None,1.94,Long Range FPV,
DRN-0158,Diatone,Kits & RTF,Complete UAV,Cinewhoop Drone,RTF,2,180,2806.5,10 inch,3S 850mAh,F4 Flight Controller,INAV,Survey Camera,4.76,Mapping / Survey,
DRN-0159,BetaFPV,Kits & RTF,Complete UAV,Cinewhoop Drone,RTF,2,180,1103,10 inch,3S 850mAh,F4 Flight Controller,Ardupilot,None,3.13,Industrial Inspection,
DRN-0160,ImpulseRC,Kits & RTF,Complete UAV,Industrial Survey Drone,DIY Kit,7,220,1103,7 inch,Li-ion 6S 4000mAh,H7 Flight Controller,Ardupilot,Survey Camera,5.54,Freestyle FPV,
DRN-0161,HGLRC,Kits & RTF,Complete UAV,Racing Drone,BNF,6,350,1404,3 inch,Li-ion 6S 4000mAh,F4 Flight Controller,Betaflight,Camera,2.92,Racing,
DRN-0162,AxisFlying,Kits & RTF,Complete UAV,Industrial Survey Drone,RTF,10,300,2205,6 inch,6S 1300mAh,H7 Flight Controller,Betaflight,Survey Camera,0.85,Freestyle FPV,
DRN-0163,Diatone,Kits & RTF,Complete UAV,Industrial Survey Drone,BNF,10,95,1103,6 inch,4S 1500mAh,F7 Flight Controller,Betaflight,None,5.25,Cinematic FPV,
DRN-0164,Foxeer,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,7,180,1806,6 inch,6S 1300mAh,F4 Flight Controller,INAV,Survey Camera,4.31,Mapping / Survey,
DRN-0165,DJI,Kits & RTF,Complete UAV,Industrial Survey Drone,DIY Kit,7,110,2306,6 inch,Li-ion 6S 4000mAh,F7 Flight Controller,Ardupilot,Survey Camera,5.67,Industrial Inspection,
DRN-0166,AxisFlying,Kits & RTF,Complete UAV,Explorer UAV,BNF,8,120,1404,7 inch,6S 1300mAh,F4 Flight Controller,Betaflight,Camera,5.77,Racing,
DRN-0167,Flywoo,Kits & RTF,Complete UAV,FPV Freestyle Drone,DIY Kit,6,110,1806,2 inch,4S 1500mAh,H7 Flight Controller,Ardupilot,None,3.89,Mapping / Survey,
DRN-0168,Skydroid,Kits & RTF,Complete UAV,Racing Drone,BNF,6,350,2207,2 inch,4S 1300mAh,F4 Flight Controller,INAV,Camera,3.7,Long Range FPV,
DRN-0169,Walksnail,Kits & RTF,Complete UAV,Cinewhoop Drone,DIY Kit,10,120,2306,7 inch,3S 850mAh,F405 Stack,Betaflight,None,3,Freestyle FPV,
DRN-0170,Armattan,Kits & RTF,Complete UAV,Racing Drone,RTF,5,260,1103,7 inch,6S 1300mAh,H7 Flight Controller,Betaflight,Survey Camera,4.04,Industrial Inspection,
DRN-0171,Foxeer,Kits & RTF,Complete UAV,Explorer UAV,RTF,5,220,1806,10 inch,6S 1500mAh,F722 Stack,Betaflight,None,5.39,Long Range FPV,
DRN-0172,Holybro,Kits & RTF,Complete UAV,Long Range Drone,RTF,2,85,2004,7 inch,Li-ion 6S 6000mAh,F4 Flight Controller,Ardupilot,Survey Camera,1.53,Freestyle FPV,
DRN-0173,Autel,Kits & RTF,Complete UAV,Racing Drone,BNF,2.5,85,1806,8 inch,6S 2200mAh,F7 Flight Controller,Betaflight,GoPro,3.6,Freestyle FPV,
DRN-0174,ImpulseRC,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,4,120,2806.5,10 inch,6S 2200mAh,F405 Stack,INAV,None,4.91,Cinematic FPV,
DRN-0175,iFlight,Kits & RTF,Complete UAV,Industrial Survey Drone,DIY Kit,10,300,1806,5 inch,Li-ion 6S 6000mAh,F405 Stack,Betaflight,GoPro,1.86,Mapping / Survey,
DRN-0176,AxisFlying,Kits & RTF,Complete UAV,Industrial Survey Drone,BNF,6,300,2004,2 inch,Li-ion 6S 4000mAh,F7 Flight Controller,INAV,Survey Camera,2.26,Industrial Inspection,
DRN-0177,ImpulseRC,Kits & RTF,Complete UAV,Long Range Drone,RTF,7,260,2205,5 inch,Li-ion 6S 6000mAh,F4 Flight Controller,Betaflight,Camera,0.35,Industrial Inspection,
DRN-0178,Walksnail,Kits & RTF,Complete UAV,Industrial Survey Drone,DIY Kit,10,300,1507,4 inch,3S 850mAh,H7 Flight Controller,Betaflight,None,1.96,Industrial Inspection,
DRN-0179,Armattan,Kits & RTF,Complete UAV,Cinewhoop Drone,BNF,3.5,180,2306,2 inch,6S 1500mAh,F722 Stack,Ardupilot,None,3.7,Freestyle FPV,
DRN-0180,HGLRC,Kits & RTF,Complete UAV,Explorer UAV,RTF,5,85,2407,5 inch,4S 1300mAh,H7 Flight Controller,Betaflight,GoPro,1.84,Racing,
DRN-0181,Walksnail,Kits & RTF,Complete UAV,Explorer UAV,RTF,4,140,2205,4 inch,3S 850mAh,H7 Flight Controller,Ardupilot,Camera,1.78,Long Range FPV,
DRN-0182,Diatone,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,7,260,2407,7 inch,4S 1300mAh,F7 Flight Controller,INAV,Survey Camera,0.4,Freestyle FPV,
DRN-0183,Holybro,Kits & RTF,Complete UAV,Industrial Survey Drone,BNF,2.5,85,1103,10 inch,4S 1300mAh,F405 Stack,INAV,GoPro,1.07,Cinematic FPV,
DRN-0184,Foxeer,Kits & RTF,Complete UAV,FPV Freestyle Drone,RTF,5,350,2806.5,8 inch,Li-ion 6S 6000mAh,F405 Stack,Ardupilot,Camera,5.66,Industrial Inspection,
DRN-0185,Skydroid,Kits & RTF,Complete UAV,Cinewhoop Drone,RTF,8,140,1507,5 inch,Li-ion 6S 4000mAh,F722 Stack,Ardupilot,Camera,6.11,Freestyle FPV,
DRN-0186,AxisFlying,Kits & RTF,Complete UAV,FPV Freestyle Drone,RTF,2.5,140,1806,8 inch,3S 850mAh,F7 Flight Controller,INAV,Survey Camera,3.77,Industrial Inspection,
DRN-0187,Holybro,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,3,220,1507,6 inch,4S 1500mAh,H7 Flight Controller,INAV,Survey Camera,2.38,Mapping / Survey,
DRN-0188,Skydroid,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,2.5,85,2806.5,5 inch,Li-ion 6S 4000mAh,F4 Flight Controller,INAV,GoPro,4.07,Industrial Inspection,
DRN-0189,AxisFlying,Kits & RTF,Complete UAV,FPV Freestyle Drone,DIY Kit,3,95,2306,4 inch,Li-ion 6S 6000mAh,F4 Flight Controller,Betaflight,Camera,0.5,Freestyle FPV,
DRN-0190,Skydroid,Kits & RTF,Complete UAV,FPV Freestyle Drone,RTF,10,180,2407,4 inch,4S 1300mAh,F4 Flight Controller,Betaflight,GoPro,3.97,Mapping / Survey,
DRN-0191,Diatone,Kits & RTF,Complete UAV,Explorer UAV,RTF,4,180,2806.5,4 inch,6S 1500mAh,F7 Flight Controller,Ardupilot,Camera,3.49,Racing,
DRN-0192,Holybro,Kits & RTF,Complete UAV,FPV Freestyle Drone,RTF,10,110,2407,4 inch,6S 1300mAh,F405 Stack,INAV,Camera,0.35,Racing,
DRN-0193,Flywoo,Kits & RTF,Complete UAV,Explorer UAV,RTF,8,350,1103,3 inch,6S 2200mAh,F405 Stack,INAV,Camera,3.9,Racing,
DRN-0194,Diatone,Kits & RTF,Complete UAV,Long Range Drone,RTF,6,180,1103,8 inch,6S 1300mAh,F7 Flight Controller,Ardupilot,Camera,5.02,Industrial Inspection,
DRN-0195,Diatone,Kits & RTF,Complete UAV,Explorer UAV,BNF,2.5,110,1507,6 inch,Li-ion 6S 6000mAh,F722 Stack,Ardupilot,Survey Camera,6.42,Mapping / Survey,
DRN-0196,iFlight,Kits & RTF,Complete UAV,Industrial Survey Drone,RTF,8,350,1103,3 inch,Li-ion 6S 4000mAh,F7 Flight Controller,Betaflight,Survey Camera,6.33,Racing,
DRN-0197,DJI,Kits & RTF,Complete UAV,Industrial Survey Drone,BNF,2,75,2004,2 inch,Li-ion 6S 6000mAh,H7 Flight Controller,INAV,Survey Camera,0.43,Racing,
DRN-0198,Diatone,Kits & RTF,Complete UAV,Racing Drone,BNF,4,260,2207,6 inch,4S 1500mAh,F722 Stack,INAV,GoPro,3.53,Cinematic FPV,
DRN-0199,iFlight,Kits & RTF,Complete UAV,Industrial Survey Drone,RTF,4,95,2806.5,2 inch,4S 1300mAh,F4 Flight Controller,INAV,Survey Camera,1.62,Cinematic FPV,
DRN-0200,Holybro,Kits & RTF,Complete UAV,FPV Freestyle Drone,DIY Kit,8,220,2207,5 inch,6S 2200mAh,F405 Stack,Betaflight,Survey Camera,1.92,Cinematic FPV,
DRN-0201,iFlight,Kits & RTF,Complete UAV,Explorer UAV,DIY Kit,5,95,1507,6 inch,4S 1300mAh,F722 Stack,INAV,Camera,0.37,Racing,
DRN-0202,Skydroid,Kits & RTF,Complete UAV,FPV Freestyle Drone,BNF,6,110,1103,10 inch,4S 1300mAh,H7 Flight Controller,Ardupilot,GoPro,3.66,Long Range FPV,
DRN-0203,Foxeer,Kits & RTF,Complete UAV,Racing Drone,RTF,2,260,2407,8 inch,6S 1500mAh,F7 Flight Controller,INAV,Survey Camera,0.29,Mapping / Survey,
DRN-0204,Armattan,Kits & RTF,Complete UAV,Racing Drone,BNF,3.5,260,1404,5 inch,3S 850mAh,F405 Stack,Betaflight,Survey Camera,5.88,Freestyle FPV,
DRN-0205,Foxeer,Kits & RTF,Complete UAV,Explorer UAV,DIY Kit,10,85,2407,3 inch,Li-ion 6S 4000mAh,F4 Flight Controller,Ardupilot,GoPro,2.93,Cinematic FPV,
DRN-0206,GEPRC,Kits & RTF,Complete UAV,Long Range Drone,DIY Kit,2,75,2004,8 inch,Li-ion 6S 4000mAh,F405 Stack,INAV,None,3.12,Industrial Inspection,
DRN-0207,Skydroid,Kits & RTF,Complete UAV,Cinewhoop Drone,RTF,6,110,1507,2 inch,3S 850mAh,H7 Flight Controller,INAV,GoPro,5.01,Racing,
DRN-0208,Walksnail,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,4,180,2205,4 inch,3S 850mAh,F4 Flight Controller,INAV,GoPro,1.63,Freestyle FPV,
DRN-0209,Flywoo,Kits & RTF,Complete UAV,Long Range Drone,RTF,6,120,1103,3 inch,4S 1300mAh,F7 Flight Controller,INAV,GoPro,4.88,Long Range FPV,
DRN-0210,Autel,Kits & RTF,Complete UAV,Long Range Drone,RTF,3,120,2306,6 inch,Li-ion 6S 6000mAh,H7 Flight Controller,INAV,GoPro,3.93,Mapping / Survey,
DRN-0211,HGLRC,Kits & RTF,Complete UAV,Long Range Drone,DIY Kit,6,75,2205,7 inch,4S 1500mAh,F405 Stack,Ardupilot,Survey Camera,0.84,Industrial Inspection,
DRN-0212,Diatone,Kits & RTF,Complete UAV,Explorer UAV,BNF,6,110,2407,5 inch,Li-ion 6S 6000mAh,F722 Stack,Ardupilot,None,4.51,Mapping / Survey,
DRN-0213,Armattan,Kits & RTF,Complete UAV,Industrial Survey Drone,RTF,10,180,1103,3 inch,6S 2200mAh,F4 Flight Controller,Betaflight,Camera,1.6,Cinematic FPV,
DRN-0214,Holybro,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,4,350,2407,4 inch,Li-ion 6S 6000mAh,F405 Stack,Ardupilot,Survey Camera,5.86,Mapping / Survey,
DRN-0215,ImpulseRC,Kits & RTF,Complete UAV,Explorer UAV,BNF,3.5,95,1404,10 inch,3S 850mAh,H7 Flight Controller,INAV,GoPro,5.5,Cinematic FPV,
DRN-0216,HGLRC,Kits & RTF,Complete UAV,Racing Drone,RTF,6,180,2806.5,6 inch,6S 2200mAh,F7 Flight Controller,Betaflight,None,4.59,Long Range FPV,
DRN-0217,ImpulseRC,Kits & RTF,Complete UAV,Long Range Drone,BNF,6,260,2207,10 inch,6S 2200mAh,F405 Stack,INAV,Survey Camera,5.83,Racing,
DRN-0218,ImpulseRC,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,5,350,1806,4 inch,3S 850mAh,F4 Flight Controller,INAV,Survey Camera,1.7,Racing,
DRN-0219,BetaFPV,Kits & RTF,Complete UAV,Cinewhoop Drone,BNF,2,110,1507,6 inch,4S 1500mAh,F405 Stack,Ardupilot,Camera,0.54,Industrial Inspection,
DRN-0220,Diatone,Kits & RTF,Complete UAV,Racing Drone,RTF,8,110,2806.5,5 inch,4S 1300mAh,F405 Stack,INAV,Camera,2.79,Mapping / Survey,
DRN-0221,ImpulseRC,Kits & RTF,Complete UAV,Cinewhoop Drone,BNF,4,140,2207,3 inch,6S 1300mAh,F7 Flight Controller,Ardupilot,None,5.9,Industrial Inspection,
DRN-0222,BetaFPV,Kits & RTF,Complete UAV,Long Range Drone,DIY Kit,5,120,2306,4 inch,6S 1500mAh,F4 Flight Controller,Ardupilot,None,3.29,Industrial Inspection,
DRN-0223,Foxeer,Kits & RTF,Complete UAV,FPV Freestyle Drone,BNF,10,110,2806.5,2 inch,4S 1500mAh,F722 Stack,Betaflight,Camera,5.59,Industrial Inspection,
DRN-0224,ImpulseRC,Kits & RTF,Complete UAV,Cinewhoop Drone,BNF,2,140,1103,8 inch,6S 1300mAh,F4 Flight Controller,Ardupilot,Camera,4.41,Freestyle FPV,
DRN-0225,DJI,Kits & RTF,Complete UAV,Explorer UAV,DIY Kit,6,220,2306,8 inch,4S 1300mAh,F4 Flight Controller,INAV,GoPro,0.81,Long Range FPV,
DRN-0226,iFlight,Kits & RTF,Complete UAV,Explorer UAV,RTF,2,180,2207,8 inch,6S 2200mAh,H7 Flight Controller,INAV,None,0.78,Industrial Inspection,
DRN-0227,Skydroid,Kits & RTF,Complete UAV,Cinewhoop Drone,RTF,5,75,1103,4 inch,6S 1300mAh,F4 Flight Controller,INAV,Survey Camera,2.13,Racing,
DRN-0228,Autel,Kits & RTF,Complete UAV,Explorer UAV,DIY Kit,8,260,2407,5 inch,3S 850mAh,F7 Flight Controller,INAV,Survey Camera,3.17,Racing,
DRN-0229,Skydroid,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,2,85,2407,5 inch,6S 1300mAh,F722 Stack,Ardupilot,Camera,3.06,Long Range FPV,
DRN-0230,Autel,Kits & RTF,Complete UAV,Industrial Survey Drone,DIY Kit,4,140,2207,4 inch,6S 1300mAh,F722 Stack,Ardupilot,Camera,2.58,Cinematic FPV,
DRN-0231,AxisFlying,Kits & RTF,Complete UAV,FPV Freestyle Drone,RTF,6,95,1103,8 inch,Li-ion 6S 6000mAh,F722 Stack,Betaflight,GoPro,5.49,Long Range FPV,
DRN-0232,GEPRC,Kits & RTF,Complete UAV,Explorer UAV,BNF,3.5,350,1103,3 inch,Li-ion 6S 4000mAh,F722 Stack,Ardupilot,Camera,4.93,Mapping / Survey,
DRN-0233,AxisFlying,Kits & RTF,Complete UAV,Industrial Survey Drone,BNF,8,140,2004,4 inch,6S 1300mAh,H7 Flight Controller,Betaflight,Survey Camera,1.08,Mapping / Survey,
DRN-0234,Holybro,Kits & RTF,Complete UAV,Explorer UAV,RTF,7,260,1806,5 inch,6S 2200mAh,F405 Stack,Ardupilot,None,3.49,Long Range FPV,
DRN-0235,AxisFlying,Kits & RTF,Complete UAV,Explorer UAV,DIY Kit,7,85,2306,2 inch,Li-ion 6S 6000mAh,H7 Flight Controller,INAV,GoPro,1.89,Freestyle FPV,
DRN-0236,HGLRC,Kits & RTF,Complete UAV,Cinewhoop Drone,BNF,10,350,2306,5 inch,6S 2200mAh,F405 Stack,Betaflight,Camera,1.01,Racing,
DRN-0237,HGLRC,Kits & RTF,Complete UAV,Explorer UAV,RTF,4,260,2205,6 inch,4S 1500mAh,F405 Stack,Betaflight,Camera,2.12,Cinematic FPV,
DRN-0238,Autel,Kits & RTF,Complete UAV,Cinewhoop Drone,DIY Kit,6,220,2407,4 inch,6S 1300mAh,F7 Flight Controller,Ardupilot,Survey Camera,4.68,Mapping / Survey,
DRN-0239,GEPRC,Kits & RTF,Complete UAV,Racing Drone,BNF,8,95,2004,2 inch,4S 1300mAh,H7 Flight Controller,Betaflight,Survey Camera,1.76,Cinematic FPV,
DRN-0240,HGLRC,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,2,350,1103,4 inch,4S 1300mAh,F4 Flight Controller,Ardupilot,GoPro,3.05,Cinematic FPV,
DRN-0241,Holybro,Kits & RTF,Complete UAV,Long Range Drone,RTF,3,95,2207,3 inch,6S 1500mAh,H7 Flight Controller,Betaflight,GoPro,4.62,Racing,
DRN-0242,BetaFPV,Kits & RTF,Complete UAV,Industrial Survey Drone,BNF,7,85,2207,10 inch,6S 2200mAh,H7 Flight Controller,INAV,Survey Camera,4.67,Mapping / Survey,
DRN-0243,Holybro,Kits & RTF,Complete UAV,Explorer UAV,DIY Kit,2,140,1806,6 inch,Li-ion 6S 6000mAh,F405 Stack,Betaflight,GoPro,5.26,Freestyle FPV,
DRN-0244,Holybro,Kits & RTF,Complete UAV,Cinewhoop Drone,DIY Kit,10,140,1507,4 inch,6S 2200mAh,F722 Stack,Ardupilot,GoPro,3.83,Freestyle FPV,
DRN-0245,HGLRC,Kits & RTF,Complete UAV,FPV Freestyle Drone,DIY Kit,3.5,300,1103,10 inch,4S 1300mAh,F722 Stack,Ardupilot,Camera,3.3,Cinematic FPV,
DRN-0246,iFlight,Kits & RTF,Complete UAV,Cinewhoop Drone,RTF,7,350,2207,7 inch,4S 1500mAh,F7 Flight Controller,Ardupilot,None,4.29,Cinematic FPV,
DRN-0247,GEPRC,Kits & RTF,Complete UAV,Racing Drone,RTF,8,75,2004,3 inch,Li-ion 6S 6000mAh,F722 Stack,Ardupilot,Camera,2.76,Industrial Inspection,
DRN-0248,Diatone,Kits & RTF,Complete UAV,Industrial Survey Drone,RTF,5,140,2306,3 inch,4S 1500mAh,H7 Flight Controller,Ardupilot,Survey Camera,3.24,Racing,
DRN-0249,Flywoo,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,6,220,1103,4 inch,Li-ion 6S 6000mAh,F4 Flight Controller,Betaflight,GoPro,0.83,Cinematic FPV,
DRN-0250,ImpulseRC,Kits & RTF,Complete UAV,Industrial Survey Drone,DIY Kit,4,75,2205,5 inch,6S 2200mAh,F722 Stack,Ardupilot,None,2.08,Cinematic FPV,
DRN-0251,ImpulseRC,Kits & RTF,Complete UAV,Industrial Survey Drone,BNF,2,300,2806.5,5 inch,4S 1500mAh,F722 Stack,Ardupilot,None,3.33,Racing,
DRN-0252,HGLRC,Kits & RTF,Complete UAV,Long Range Drone,BNF,2,110,2806.5,2 inch,3S 850mAh,F405 Stack,INAV,GoPro,5.84,Freestyle FPV,
DRN-0253,Walksnail,Kits & RTF,Complete UAV,Long Range Drone,RTF,2.5,220,2407,2 inch,6S 1300mAh,F4 Flight Controller,INAV,Survey Camera,2.31,Long Range FPV,
DRN-0254,Autel,Kits & RTF,Complete UAV,Long Range Drone,DIY Kit,3,180,1507,2 inch,6S 1500mAh,H7 Flight Controller,INAV,GoPro,1.82,Cinematic FPV,
DRN-0255,Holybro,Kits & RTF,Complete UAV,Industrial Survey Drone,DIY Kit,3.5,300,2407,10 inch,6S 1300mAh,F4 Flight Controller,Ardupilot,GoPro,0.42,Long Range FPV,
DRN-0256,Flywoo,Kits & RTF,Complete UAV,FPV Freestyle Drone,DIY Kit,2.5,260,1404,10 inch,Li-ion 6S 4000mAh,F7 Flight Controller,Ardupilot,Camera,5.48,Long Range FPV,
DRN-0257,Diatone,Kits & RTF,Complete UAV,Racing Drone,BNF,2.5,120,1404,6 inch,Li-ion 6S 6000mAh,H7 Flight Controller,Ardupilot,Survey Camera,5.49,Freestyle FPV,
DRN-0258,Foxeer,Kits & RTF,Complete UAV,FPV Freestyle Drone,DIY Kit,3,350,1507,7 inch,3S 850mAh,F7 Flight Controller,Betaflight,None,0.64,Freestyle FPV,
DRN-0259,Foxeer,Kits & RTF,Complete UAV,Long Range Drone,BNF,3.5,85,2306,4 inch,4S 1300mAh,F405 Stack,INAV,GoPro,4.04,Long Range FPV,
DRN-0260,BetaFPV,Kits & RTF,Complete UAV,Explorer UAV,RTF,2.5,120,2207,8 inch,4S 1300mAh,F7 Flight Controller,Betaflight,Camera,3.53,Mapping / Survey,
DRN-0261,BetaFPV,Kits & RTF,Complete UAV,Racing Drone,RTF,5,300,1103,4 inch,6S 1500mAh,H7 Flight Controller,Betaflight,Survey Camera,1.57,Long Range FPV,
DRN-0262,Autel,Kits & RTF,Complete UAV,Industrial Survey Drone,BNF,2,220,2306,5 inch,4S 1500mAh,F7 Flight Controller,Betaflight,GoPro,2.06,Cinematic FPV,
DRN-0263,Autel,Kits & RTF,Complete UAV,Explorer UAV,BNF,10,140,2207,7 inch,Li-ion 6S 4000mAh,F722 Stack,Ardupilot,None,6.39,Racing,
DRN-0264,Flywoo,Kits & RTF,Complete UAV,Cinewhoop Drone,RTF,6,95,2207,2 inch,Li-ion 6S 4000mAh,F722 Stack,Ardupilot,Survey Camera,1.31,Industrial Inspection,
DRN-0265,AxisFlying,Kits & RTF,Complete UAV,Explorer UAV,RTF,2,140,2306,3 inch,Li-ion 6S 6000mAh,F405 Stack,Ardupilot,Camera,0.77,Freestyle FPV,
DRN-0266,Diatone,Kits & RTF,Complete UAV,Industrial Survey Drone,DIY Kit,3.5,140,2306,5 inch,3S 850mAh,F405 Stack,Betaflight,Camera,2.05,Freestyle FPV,
DRN-0267,HGLRC,Kits & RTF,Complete UAV,Long Range Drone,BNF,2,220,1404,4 inch,6S 1300mAh,F7 Flight Controller,INAV,Camera,2.75,Long Range FPV,
DRN-0268,ImpulseRC,Kits & RTF,Complete UAV,Explorer UAV,RTF,10,95,2306,6 inch,4S 1300mAh,F722 Stack,Ardupilot,None,4.16,Long Range FPV,
DRN-0269,Armattan,Kits & RTF,Complete UAV,FPV Freestyle Drone,BNF,7,140,1806,4 inch,4S 1500mAh,F722 Stack,Betaflight,Survey Camera,5.15,Cinematic FPV,
DRN-0270,Holybro,Kits & RTF,Complete UAV,FPV Freestyle Drone,BNF,5,140,2004,2 inch,6S 1500mAh,F7 Flight Controller,INAV,Camera,6.28,Cinematic FPV,
DRN-0271,Armattan,Kits & RTF,Complete UAV,Racing Drone,BNF,7,350,2205,5 inch,3S 850mAh,F7 Flight Controller,Betaflight,Survey Camera,6.11,Mapping / Survey,
DRN-0272,HGLRC,Kits & RTF,Complete UAV,Cinewhoop Drone,DIY Kit,8,220,1507,6 inch,6S 2200mAh,F7 Flight Controller,Betaflight,Survey Camera,4.41,Freestyle FPV,
DRN-0273,HGLRC,Kits & RTF,Complete UAV,Explorer UAV,RTF,2.5,220,2205,7 inch,Li-ion 6S 6000mAh,F722 Stack,Ardupilot,GoPro,4.71,Cinematic FPV,
DRN-0274,Flywoo,Kits & RTF,Complete UAV,Cinewhoop Drone,DIY Kit,10,75,1103,3 inch,6S 1500mAh,F7 Flight Controller,Ardupilot,Camera,0.24,Racing,
DRN-0275,AxisFlying,Kits & RTF,Complete UAV,Industrial Survey Drone,DIY Kit,5,95,2407,3 inch,Li-ion 6S 4000mAh,H7 Flight Controller,Ardupilot,Camera,1.08,Racing,
DRN-0276,Autel,Kits & RTF,Complete UAV,Cinewhoop Drone,RTF,3,220,1806,10 inch,6S 1500mAh,F722 Stack,INAV,Survey Camera,1.5,Mapping / Survey,
DRN-0277,DJI,Kits & RTF,Complete UAV,FPV Freestyle Drone,DIY Kit,7,75,2407,10 inch,4S 1500mAh,F405 Stack,Ardupilot,GoPro,1.1,Freestyle FPV,
DRN-0278,ImpulseRC,Kits & RTF,Complete UAV,Industrial Survey Drone,RTF,2,220,2004,3 inch,Li-ion 6S 6000mAh,F4 Flight Controller,INAV,Survey Camera,4.4,Industrial Inspection,
DRN-0279,HGLRC,Kits & RTF,Complete UAV,Explorer UAV,BNF,10,220,2806.5,10 inch,3S 850mAh,H7 Flight Controller,Ardupilot,GoPro,6.09,Racing,
DRN-0280,Flywoo,Kits & RTF,Complete UAV,Explorer UAV,RTF,5,300,2207,4 inch,Li-ion 6S 4000mAh,F4 Flight Controller,Betaflight,GoPro,1.48,Racing,
DRN-0281,Armattan,Kits & RTF,Complete UAV,Racing Drone,DIY Kit,6,110,1103,8 inch,6S 1500mAh,F4 Flight Controller,Ardupilot,Survey Camera,3.7,Industrial Inspection,
