CameraID,Brand,Category,SubCategory,CameraType,SensorType,Resolution,VideoSystem,LensSize_mm,FieldOfView_deg,Interface,MountType,Weight_g,SupportedDroneType,IntendedUse
CAM-0157,Hawkeye,Cameras,UAV Camera,FPV Camera,Global Shutter CMOS,20MP,DJI Digital,2.1mm,110,MIPI,Payload Mount,250,Industrial,Mapping / Survey
CAM-0158,DJI,Cameras,UAV Camera,FPV Camera,Sony STARVIS CMOS,720p,Standalone Payload,3.6mm,155,USB,Nano,450,Agricultural,Agriculture Survey
CAM-0159,Caddx,Cameras,UAV Camera,Thermal Camera,CMOS,720p,HDZero,3.6mm,120,HDMI,Nano,10,FPV,Freestyle FPV
CAM-0160,MicaSense,Cameras,UAV Camera,Agriculture Multispectral Camera,Sony STARVIS CMOS,12MP,HDZero,2.5mm,120,CVBS,Nano,120,Industrial,Infrastructure Inspection
CAM-0161,NextVision,Cameras,UAV Camera,FPV Camera,Multispectral Sensor,20MP,HDZero,2.5mm,120,USB,Gimbal Mount,35,FPV,Cinematic FPV
CAM-0162,NextVision,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,20MP,Walksnail Avatar,2.8mm,110,USB,Payload Mount,8,Agricultural,Crop Health Monitoring
CAM-0163,NextVision,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,1080p,HDZero,1.8mm,110,MIPI,Payload Mount,8,FPV,Freestyle FPV
CAM-0164,Hawkeye,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,1080p,Walksnail Avatar,4mm,90,HDMI,Gimbal Mount,450,Agricultural,Crop Health Monitoring
CAM-0165,SIYI,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,48MP,HDZero,12mm,140,USB,Gimbal Mount,35,Industrial,Infrastructure Inspection
CAM-0166,SIYI,Cameras,UAV Camera,Mapping Camera,CMOS,2K,DJI Digital,4mm,165,HDMI,Gimbal Mount,5,Agricultural,Crop Health Monitoring
CAM-0167,Sentera,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,4K,HDZero,6mm,120,CVBS,Nano,15,Industrial,Mapping / Survey
CAM-0168,Gremsy,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,12MP,Walksnail Avatar,6mm,110,CVBS,Micro,10,Industrial,Infrastructure Inspection
CAM-0169,Hawkeye,Cameras,UAV Camera,Agriculture Multispectral Camera,Global Shutter CMOS,24MP,Analog,2.1mm,90,USB,Micro,35,FPV,Cinematic FPV
CAM-0170,Gremsy,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,2K,DJI Digital,6mm,120,MIPI,Micro,120,Industrial,Infrastructure Inspection
CAM-0171,MicaSense,Cameras,UAV Camera,Digital FPV Camera,CMOS,48MP,HDZero,1.8mm,155,USB,Mini,120,FPV,Freestyle FPV
CAM-0172,SIYI,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,24MP,Analog,3.6mm,120,HDMI,Gimbal Mount,20,Agricultural,Agriculture Survey
CAM-0173,DJI,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,2K,Analog,2.1mm,110,CVBS,Payload Mount,5,Agricultural,Crop Health Monitoring
CAM-0174,Gremsy,Cameras,UAV Camera,Mapping Camera,Multispectral Sensor,2K,DJI Digital,1.8mm,90,USB,Gimbal Mount,250,Agricultural,Crop Health Monitoring
CAM-0175,Workswell,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,12MP,Standalone Payload,12mm,90,MIPI,Micro,8,Agricultural,Agriculture Survey
CAM-0176,HDZero,Cameras,UAV Camera,Digital FPV Camera,CMOS,720p,Analog,3.6mm,140,CVBS,Mini,20,FPV,Racing FPV
CAM-0177,Caddx,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,20MP,Standalone Payload,1.8mm,155,Ethernet,Payload Mount,20,Industrial,Mapping / Survey
CAM-0178,Caddx,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,20MP,Walksnail Avatar,12mm,110,USB,Micro,10,Industrial,Mapping / Survey
CAM-0179,Walksnail,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,720p,Standalone Payload,2.8mm,140,CVBS,Nano,20,Agricultural,Agriculture Survey
CAM-0180,SIYI,Cameras,UAV Camera,Agriculture Multispectral Camera,Sony STARVIS CMOS,12MP,Analog,1.8mm,120,USB,Mini,250,Agricultural,Crop Health Monitoring
CAM-0181,Viewpro,Cameras,UAV Camera,Thermal Camera,Sony STARVIS CMOS,20MP,DJI Digital,4mm,120,USB,Nano,20,FPV,Cinematic FPV
CAM-0182,Foxeer,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,48MP,Walksnail Avatar,4mm,165,HDMI,Nano,450,Agricultural,Agriculture Survey
CAM-0183,Caddx,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,20MP,DJI Digital,2.1mm,120,MIPI,Payload Mount,250,Industrial,Mapping / Survey
CAM-0184,Viewpro,Cameras,UAV Camera,FPV Camera,Multispectral Sensor,20MP,Standalone Payload,2.1mm,155,MIPI,Gimbal Mount,120,FPV,Freestyle FPV
CAM-0185,Walksnail,Cameras,UAV Camera,FPV Camera,Multispectral Sensor,24MP,Standalone Payload,1.8mm,155,MIPI,Payload Mount,8,FPV,Racing FPV
CAM-0186,Caddx,Cameras,UAV Camera,Gimbal Payload Camera,Global Shutter CMOS,20MP,DJI Digital,1.8mm,120,Ethernet,Nano,20,Industrial,Infrastructure Inspection
CAM-0187,Viewpro,Cameras,UAV Camera,Agriculture Multispectral Camera,Thermal Sensor,12MP,DJI Digital,6mm,165,HDMI,Gimbal Mount,8,FPV,Freestyle FPV
CAM-0188,HDZero,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,12MP,Walksnail Avatar,4mm,90,CVBS,Micro,8,Industrial,Mapping / Survey
CAM-0189,Sentera,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,2K,HDZero,3.6mm,90,MIPI,Nano,10,FPV,Cinematic FPV
CAM-0190,Caddx,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,720p,HDZero,12mm,140,Ethernet,Nano,450,Industrial,Infrastructure Inspection
CAM-0191,Foxeer,Cameras,UAV Camera,Inspection Camera,CMOS,12MP,DJI Digital,6mm,155,CVBS,Nano,10,Agricultural,Agriculture Survey
CAM-0192,MicaSense,Cameras,UAV Camera,FPV Camera,Thermal Sensor,720p,Analog,4mm,90,USB,Gimbal Mount,450,FPV,Freestyle FPV
CAM-0193,DJI,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,12MP,Analog,6mm,155,CVBS,Nano,5,Industrial,Mapping / Survey
CAM-0194,RunCam,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,720p,DJI Digital,6mm,140,CVBS,Gimbal Mount,10,FPV,Racing FPV
CAM-0195,Foxeer,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,720p,Analog,2.1mm,110,MIPI,Mini,8,Industrial,Mapping / Survey
CAM-0196,RunCam,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,4K,HDZero,12mm,140,CVBS,Nano,120,FPV,Racing FPV
CAM-0197,DJI,Cameras,UAV Camera,Thermal Camera,Thermal Sensor,1080p,HDZero,2.8mm,120,MIPI,Gimbal Mount,120,FPV,Freestyle FPV
CAM-0198,RunCam,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,720p,DJI Digital,2.1mm,110,CVBS,Micro,5,Industrial,Mapping / Survey
CAM-0199,HDZero,Cameras,UAV Camera,Digital FPV Camera,Thermal Sensor,24MP,Walksnail Avatar,2.8mm,120,Ethernet,Payload Mount,250,Industrial,Infrastructure Inspection
CAM-0200,Caddx,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,4K,Walksnail Avatar,2.5mm,110,CVBS,Gimbal Mount,450,Agricultural,Agriculture Survey
CAM-0201,Workswell,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,12MP,Analog,6mm,140,CVBS,Micro,8,Industrial,Mapping / Survey
CAM-0202,Hawkeye,Cameras,UAV Camera,Gimbal Payload Camera,Global Shutter CMOS,12MP,DJI Digital,2.1mm,165,USB,Mini,250,Agricultural,Crop Health Monitoring
CAM-0203,Workswell,Cameras,UAV Camera,Thermal Camera,Sony STARVIS CMOS,48MP,DJI Digital,2.8mm,120,CVBS,Micro,120,Industrial,Mapping / Survey
CAM-0204,MicaSense,Cameras,UAV Camera,Agriculture Multispectral Camera,Sony STARVIS CMOS,1080p,DJI Digital,4mm,140,HDMI,Nano,20,Industrial,Infrastructure Inspection
CAM-0205,Caddx,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,1080p,Standalone Payload,2.1mm,140,MIPI,Gimbal Mount,50,FPV,Racing FPV
CAM-0206,Caddx,Cameras,UAV Camera,Thermal Camera,Thermal Sensor,24MP,Analog,1.8mm,110,Ethernet,Nano,35,FPV,Cinematic FPV
CAM-0207,MicaSense,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,48MP,HDZero,2.1mm,165,Ethernet,Mini,8,Agricultural,Agriculture Survey
CAM-0208,HDZero,Cameras,UAV Camera,FPV Camera,CMOS,720p,Analog,4mm,90,CVBS,Payload Mount,35,Industrial,Infrastructure Inspection
CAM-0209,NextVision,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,4K,HDZero,4mm,90,Ethernet,Mini,10,Industrial,Infrastructure Inspection
CAM-0210,Walksnail,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,720p,Analog,2.1mm,155,CVBS,Gimbal Mount,10,FPV,Freestyle FPV
CAM-0211,Gremsy,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,1080p,Analog,3.6mm,110,USB,Micro,5,Industrial,Mapping / Survey
CAM-0212,SIYI,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,4K,HDZero,6mm,165,USB,Nano,35,Agricultural,Crop Health Monitoring
CAM-0213,Hawkeye,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,4K,Walksnail Avatar,6mm,90,HDMI,Payload Mount,50,Industrial,Mapping / Survey
CAM-0214,Foxeer,Cameras,UAV Camera,Digital FPV Camera,CMOS,4K,Standalone Payload,2.5mm,165,CVBS,Mini,120,Industrial,Infrastructure Inspection
CAM-0215,Walksnail,Cameras,UAV Camera,Digital FPV Camera,CMOS,12MP,Walksnail Avatar,2.5mm,165,CVBS,Mini,15,Industrial,Mapping / Survey
CAM-0216,NextVision,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,2K,DJI Digital,4mm,120,HDMI,Mini,20,Industrial,Infrastructure Inspection
CAM-0217,Walksnail,Cameras,UAV Camera,Gimbal Payload Camera,Global Shutter CMOS,4K,Walksnail Avatar,2.5mm,155,USB,Nano,10,Industrial,Mapping / Survey
CAM-0218,Sentera,Cameras,UAV Camera,Thermal Camera,CMOS,20MP,DJI Digital,6mm,90,USB,Payload Mount,50,FPV,Racing FPV
CAM-0219,Caddx,Cameras,UAV Camera,Agriculture Multispectral Camera,Global Shutter CMOS,720p,Standalone Payload,1.8mm,155,USB,Gimbal Mount,50,Agricultural,Agriculture Survey
CAM-0220,DJI,Cameras,UAV Camera,FPV Camera,Global Shutter CMOS,24MP,Standalone Payload,4mm,120,MIPI,Nano,8,Agricultural,Crop Health Monitoring
CAM-0221,SIYI,Cameras,UAV Camera,FPV Camera,CMOS,2K,Standalone Payload,4mm,165,MIPI,Nano,8,Industrial,Infrastructure Inspection
CAM-0222,SIYI,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,2K,Standalone Payload,12mm,110,USB,Nano,10,Industrial,Mapping / Survey
CAM-0223,Caddx,Cameras,UAV Camera,Digital FPV Camera,Thermal Sensor,4K,Standalone Payload,2.1mm,165,MIPI,Nano,50,FPV,Cinematic FPV
CAM-0224,Workswell,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,48MP,DJI Digital,2.5mm,120,USB,Gimbal Mount,5,Agricultural,Crop Health Monitoring
CAM-0225,Sentera,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,4K,DJI Digital,2.8mm,110,Ethernet,Mini,250,Agricultural,Agriculture Survey
CAM-0226,Caddx,Cameras,UAV Camera,FPV Camera,Multispectral Sensor,4K,Walksnail Avatar,3.6mm,140,MIPI,Payload Mount,120,Industrial,Mapping / Survey
CAM-0227,Sentera,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,2K,Standalone Payload,12mm,155,CVBS,Mini,15,FPV,Racing FPV
CAM-0228,Sentera,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,1080p,Analog,12mm,120,Ethernet,Micro,5,Industrial,Infrastructure Inspection
CAM-0229,Walksnail,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,24MP,HDZero,4mm,120,MIPI,Nano,8,Industrial,Mapping / Survey
CAM-0230,SIYI,Cameras,UAV Camera,Mapping Camera,CMOS,720p,DJI Digital,6mm,90,HDMI,Payload Mount,120,FPV,Racing FPV
CAM-0231,DJI,Cameras,UAV Camera,FPV Camera,Multispectral Sensor,48MP,HDZero,1.8mm,90,CVBS,Payload Mount,5,FPV,Freestyle FPV
CAM-0232,Caddx,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,720p,DJI Digital,12mm,155,HDMI,Mini,20,Agricultural,Agriculture Survey
CAM-0233,Foxeer,Cameras,UAV Camera,FPV Camera,Multispectral Sensor,20MP,Analog,3.6mm,165,HDMI,Nano,20,Industrial,Infrastructure Inspection
CAM-0234,Foxeer,Cameras,UAV Camera,Agriculture Multispectral Camera,Sony STARVIS CMOS,2K,DJI Digital,2.1mm,110,CVBS,Payload Mount,8,Industrial,Mapping / Survey
CAM-0235,Foxeer,Cameras,UAV Camera,Thermal Camera,CMOS,24MP,HDZero,6mm,140,CVBS,Gimbal Mount,120,FPV,Cinematic FPV
CAM-0236,Sentera,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,20MP,Walksnail Avatar,3.6mm,120,CVBS,Micro,15,Agricultural,Agriculture Survey
CAM-0237,MicaSense,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,1080p,HDZero,2.8mm,155,MIPI,Micro,20,FPV,Freestyle FPV
CAM-0238,Gremsy,Cameras,UAV Camera,FPV Camera,CMOS,12MP,HDZero,12mm,155,MIPI,Nano,50,Agricultural,Crop Health Monitoring
CAM-0239,RunCam,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,24MP,Walksnail Avatar,12mm,165,MIPI,Nano,450,Agricultural,Crop Health Monitoring
CAM-0240,Hawkeye,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,20MP,Analog,2.1mm,165,USB,Micro,35,Industrial,Infrastructure Inspection
CAM-0241,Foxeer,Cameras,UAV Camera,FPV Camera,Sony STARVIS CMOS,2K,Walksnail Avatar,3.6mm,140,HDMI,Micro,35,Agricultural,Crop Health Monitoring
CAM-0242,Gremsy,Cameras,UAV Camera,Agriculture Multispectral Camera,Thermal Sensor,1080p,Standalone Payload,6mm,90,MIPI,Mini,5,FPV,Cinematic FPV
CAM-0243,Foxeer,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,1080p,HDZero,12mm,120,Ethernet,Micro,50,Agricultural,Agriculture Survey
CAM-0244,Hawkeye,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,24MP,DJI Digital,2.8mm,140,HDMI,Payload Mount,20,FPV,Racing FPV
CAM-0245,Foxeer,Cameras,UAV Camera,FPV Camera,Global Shutter CMOS,720p,DJI Digital,6mm,165,MIPI,Mini,15,Agricultural,Crop Health Monitoring
CAM-0246,Foxeer,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,720p,DJI Digital,4mm,165,MIPI,Payload Mount,15,FPV,Racing FPV
CAM-0247,SIYI,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,720p,Analog,4mm,140,USB,Mini,120,Agricultural,Crop Health Monitoring
CAM-0248,Viewpro,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,12MP,HDZero,2.8mm,155,Ethernet,Mini,10,Industrial,Mapping / Survey
CAM-0249,Viewpro,Cameras,UAV Camera,Agriculture Multispectral Camera,Global Shutter CMOS,2K,Walksnail Avatar,2.5mm,120,MIPI,Nano,8,FPV,Freestyle FPV
CAM-0250,NextVision,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,20MP,HDZero,2.1mm,110,MIPI,Micro,5,Agricultural,Crop Health Monitoring
CAM-0251,Workswell,Cameras,UAV Camera,Thermal Camera,Sony STARVIS CMOS,20MP,HDZero,2.1mm,155,USB,Mini,35,Agricultural,Agriculture Survey
CAM-0252,HDZero,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,4K,HDZero,4mm,90,Ethernet,Nano,450,Industrial,Mapping / Survey
CAM-0253,RunCam,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,720p,Standalone Payload,1.8mm,155,CVBS,Payload Mount,50,FPV,Freestyle FPV
CAM-0254,NextVision,Cameras,UAV Camera,Thermal Camera,Global Shutter CMOS,12MP,Standalone Payload,3.6mm,110,CVBS,Gimbal Mount,50,Industrial,Mapping / Survey
CAM-0255,MicaSense,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,2K,Analog,12mm,155,Ethernet,Micro,20,FPV,Racing FPV
CAM-0256,SIYI,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,2K,HDZero,4mm,140,USB,Payload Mount,8,FPV,Freestyle FPV
CAM-0257,Caddx,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,24MP,DJI Digital,2.8mm,155,MIPI,Gimbal Mount,450,Industrial,Infrastructure Inspection
CAM-0258,Hawkeye,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,720p,HDZero,3.6mm,110,HDMI,Mini,10,FPV,Cinematic FPV
CAM-0259,Viewpro,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,24MP,HDZero,1.8mm,90,Ethernet,Micro,5,FPV,Cinematic FPV
CAM-0260,Walksnail,Cameras,UAV Camera,FPV Camera,Global Shutter CMOS,4K,Analog,3.6mm,90,MIPI,Payload Mount,8,Industrial,Infrastructure Inspection
CAM-0261,DJI,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,12MP,Walksnail Avatar,2.1mm,90,USB,Mini,250,FPV,Freestyle FPV
CAM-0262,Gremsy,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,1080p,Standalone Payload,6mm,120,USB,Mini,450,FPV,Cinematic FPV
CAM-0263,HDZero,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,24MP,Standalone Payload,2.5mm,155,MIPI,Payload Mount,10,Agricultural,Crop Health Monitoring
CAM-0264,RunCam,Cameras,UAV Camera,Digital FPV Camera,CMOS,2K,HDZero,6mm,90,USB,Mini,20,Agricultural,Agriculture Survey
CAM-0265,NextVision,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,4K,Walksnail Avatar,2.8mm,140,CVBS,Gimbal Mount,8,FPV,Racing FPV
CAM-0266,SIYI,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,24MP,Analog,3.6mm,110,Ethernet,Payload Mount,5,Industrial,Infrastructure Inspection
CAM-0267,Hawkeye,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,720p,Standalone Payload,4mm,110,Ethernet,Payload Mount,8,FPV,Racing FPV
CAM-0268,Gremsy,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,12MP,Walksnail Avatar,2.5mm,140,HDMI,Mini,250,Industrial,Infrastructure Inspection
CAM-0269,Gremsy,Cameras,UAV Camera,Thermal Camera,Sony STARVIS CMOS,24MP,HDZero,12mm,120,USB,Mini,250,Industrial,Infrastructure Inspection
CAM-0270,Hawkeye,Cameras,UAV Camera,FPV Camera,Global Shutter CMOS,48MP,Standalone Payload,4mm,120,HDMI,Micro,50,FPV,Racing FPV
CAM-0271,RunCam,Cameras,UAV Camera,Thermal Camera,Global Shutter CMOS,48MP,Walksnail Avatar,3.6mm,90,USB,Mini,8,Industrial,Mapping / Survey
CAM-0272,Walksnail,Cameras,UAV Camera,Thermal Camera,Sony STARVIS CMOS,1080p,DJI Digital,2.8mm,165,USB,Mini,50,Industrial,Mapping / Survey
CAM-0273,SIYI,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,48MP,Walksnail Avatar,2.8mm,165,Ethernet,Gimbal Mount,15,Agricultural,Crop Health Monitoring
CAM-0274,Sentera,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,20MP,HDZero,3.6mm,155,CVBS,Gimbal Mount,8,Agricultural,Crop Health Monitoring
CAM-0275,Foxeer,Cameras,UAV Camera,Thermal Camera,Global Shutter CMOS,12MP,HDZero,4mm,120,CVBS,Nano,10,FPV,Freestyle FPV
CAM-0276,Sentera,Cameras,UAV Camera,FPV Camera,Sony STARVIS CMOS,12MP,Analog,12mm,90,HDMI,Nano,250,Agricultural,Crop Health Monitoring
CAM-0277,Gremsy,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,1080p,Walksnail Avatar,1.8mm,140,HDMI,Payload Mount,120,Agricultural,Agriculture Survey
CAM-0278,Sentera,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,720p,Standalone Payload,2.8mm,120,USB,Nano,250,Industrial,Mapping / Survey
CAM-0279,RunCam,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,4K,HDZero,2.5mm,140,MIPI,Nano,15,Industrial,Infrastructure Inspection
CAM-0280,Caddx,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,48MP,HDZero,2.1mm,140,Ethernet,Payload Mount,120,FPV,Cinematic FPV
CAM-0281,DJI,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,20MP,Analog,6mm,110,USB,Micro,8,FPV,Cinematic FPV
CAM-0282,RunCam,Cameras,UAV Camera,Inspection Camera,CMOS,720p,Analog,1.8mm,120,Ethernet,Mini,50,Industrial,Mapping / Survey
CAM-0283,SIYI,Cameras,UAV Camera,Inspection Camera,CMOS,20MP,Walksnail Avatar,4mm,110,MIPI,Payload Mount,50,Industrial,Infrastructure Inspection
CAM-0284,Sentera,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,720p,Walksnail Avatar,3.6mm,110,CVBS,Micro,35,FPV,Racing FPV
CAM-0285,SIYI,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,4K,Analog,2.1mm,155,Ethernet,Mini,10,Industrial,Mapping / Survey
CAM-0286,Viewpro,Cameras,UAV Camera,FPV Camera,Sony STARVIS CMOS,2K,Analog,3.6mm,90,HDMI,Nano,8,FPV,Freestyle FPV
CAM-0287,SIYI,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,48MP,Analog,12mm,90,Ethernet,Mini,20,FPV,Racing FPV
CAM-0288,MicaSense,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,20MP,DJI Digital,4mm,165,HDMI,Micro,35,FPV,Freestyle FPV
CAM-0289,Viewpro,Cameras,UAV Camera,Agriculture Multispectral Camera,Thermal Sensor,720p,DJI Digital,2.5mm,110,MIPI,Payload Mount,20,FPV,Freestyle FPV
CAM-0290,NextVision,Cameras,UAV Camera,Mapping Camera,Multispectral Sensor,720p,Analog,2.8mm,110,CVBS,Nano,15,Industrial,Infrastructure Inspection
CAM-0291,DJI,Cameras,UAV Camera,Digital FPV Camera,Multispectral Sensor,48MP,Walksnail Avatar,3.6mm,120,CVBS,Nano,250,Agricultural,Agriculture Survey
CAM-0292,Workswell,Cameras,UAV Camera,FPV Camera,Multispectral Sensor,720p,HDZero,1.8mm,110,CVBS,Micro,5,FPV,Cinematic FPV
CAM-0293,Walksnail,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,24MP,DJI Digital,1.8mm,165,CVBS,Nano,120,Industrial,Mapping / Survey
CAM-0294,Walksnail,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,720p,HDZero,2.8mm,140,CVBS,Mini,20,Agricultural,Crop Health Monitoring
CAM-0295,RunCam,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,48MP,Standalone Payload,12mm,155,USB,Nano,15,FPV,Freestyle FPV
CAM-0296,RunCam,Cameras,UAV Camera,Thermal Camera,CMOS,24MP,Walksnail Avatar,6mm,120,HDMI,Mini,50,FPV,Cinematic FPV
CAM-0297,Walksnail,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,2K,Walksnail Avatar,6mm,140,MIPI,Payload Mount,35,Industrial,Mapping / Survey
CAM-0298,Foxeer,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,20MP,Walksnail Avatar,2.1mm,90,CVBS,Nano,120,FPV,Cinematic FPV
CAM-0299,SIYI,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,24MP,HDZero,12mm,165,CVBS,Payload Mount,20,Agricultural,Crop Health Monitoring
CAM-0300,Gremsy,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,20MP,HDZero,4mm,120,Ethernet,Nano,35,FPV,Freestyle FPV
CAM-0301,RunCam,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,2K,Walksnail Avatar,2.5mm,165,CVBS,Payload Mount,5,FPV,Cinematic FPV
CAM-0302,NextVision,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,24MP,HDZero,3.6mm,120,MIPI,Nano,15,Industrial,Mapping / Survey
CAM-0303,MicaSense,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,720p,DJI Digital,3.6mm,155,Ethernet,Payload Mount,10,Industrial,Mapping / Survey
CAM-0304,Gremsy,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,1080p,Standalone Payload,4mm,90,Ethernet,Micro,8,Industrial,Mapping / Survey
CAM-0305,RunCam,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,24MP,DJI Digital,12mm,120,Ethernet,Payload Mount,35,FPV,Racing FPV
CAM-0306,Gremsy,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,12MP,Walksnail Avatar,1.8mm,120,CVBS,Gimbal Mount,20,Industrial,Mapping / Survey
CAM-0307,Caddx,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,12MP,DJI Digital,4mm,110,Ethernet,Nano,5,Agricultural,Agriculture Survey
CAM-0308,HDZero,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,48MP,Standalone Payload,1.8mm,155,Ethernet,Gimbal Mount,450,Industrial,Mapping / Survey
CAM-0309,SIYI,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,48MP,DJI Digital,4mm,140,Ethernet,Nano,35,FPV,Racing FPV
CAM-0310,HDZero,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,48MP,Analog,1.8mm,140,MIPI,Gimbal Mount,250,Industrial,Infrastructure Inspection
CAM-0311,Caddx,Cameras,UAV Camera,Thermal Camera,Sony STARVIS CMOS,720p,Analog,2.1mm,165,CVBS,Gimbal Mount,120,FPV,Cinematic FPV
CAM-0312,MicaSense,Cameras,UAV Camera,FPV Camera,Thermal Sensor,48MP,Standalone Payload,2.1mm,165,USB,Nano,450,Industrial,Infrastructure Inspection
CAM-0313,Foxeer,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,48MP,Analog,6mm,155,MIPI,Payload Mount,10,FPV,Freestyle FPV
CAM-0314,NextVision,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,720p,Standalone Payload,2.5mm,120,Ethernet,Mini,10,FPV,Freestyle FPV
