ESCID,Brand,Category,SubCategory,ESCType,ContinuousCurrent_A,BurstCurrent_A,SupportedVoltage,Firmware,InputProtocol,MountPattern_mm,BEC_Output,CoolingMethod,SupportedDroneType,IntendedUse
ESC-0165,Diatone,ESC,Electronic Speed Controller,Single ESC,100,110,4-8S,AM32,Oneshot125,20x20,5V 5A,Heatsink,FPV,Cinematic FPV
ESC-0166,TBS,ESC,Electronic Speed Controller,Industrial ESC,65,75,3-6S,AM32,DShot1200,20x20,5V 2A,Active Cooling,FPV,Freestyle FPV
ESC-0167,Holybro,ESC,Electronic Speed Controller,Single ESC,50,65,4-8S,SimonK,Multishot,16x16,N/A,Heatsink,FPV,Racing FPV
ESC-0168,Diatone,ESC,Electronic Speed Controller,Stack ESC,65,70,3-6S,BLHeli_32,Oneshot125,20x20,5V 3A,Passive,FPV,Cinematic FPV
ESC-0169,SpeedyBee,ESC,Electronic Speed Controller,4-in-1 ESC,65,70,2-4S,AM32,DShot300,30x30,N/A,Active Cooling,FPV,Racing FPV
ESC-0170,Holybro,ESC,Electronic Speed Controller,Stack ESC,45,50,3-6S,BLHeli_S,DShot300,20x20,10V 2A,Heatsink,FPV,Racing FPV
ESC-0171,Lumenier,ESC,Electronic Speed Controller,Industrial ESC,55,60,3-6S,BLHeli_32,DShot1200,16x16,5V 2A,Active Cooling,FPV,Cinematic FPV
ESC-0172,Aikon,ESC,Electronic Speed Controller,Industrial ESC,65,85,6-12S,AM32,DShot1200,20x20,N/A,Active Cooling,FPV,Racing FPV
ESC-0173,RushFPV,ESC,Electronic Speed Controller,4-in-1 ESC,60,80,2-4S,BLHeli_32,DShot1200,20x20,10V 2A,Passive,Industrial,Industrial UAV
ESC-0174,Flywoo,ESC,Electronic Speed Controller,4-in-1 ESC,20,25,3-6S,BLHeli_32,DShot1200,30x30,10V 2A,Active Cooling,FPV,Freestyle FPV
ESC-0175,Holybro,ESC,Electronic Speed Controller,Single ESC,35,40,6-12S,AM32,DShot600,16x16,5V 3A,Active Cooling,FPV,Freestyle FPV
ESC-0176,Hobbywing,ESC,Electronic Speed Controller,Stack ESC,45,50,6-12S,BLHeli_S,DShot600,20x20,5V 3A,Passive,Industrial,Industrial UAV
ESC-0177,Flywoo,ESC,Electronic Speed Controller,Single ESC,65,75,2-4S,BLHeli_S,Oneshot125,16x16,5V 3A,Heatsink,Industrial,Industrial UAV
ESC-0178,T-Motor,ESC,Electronic Speed Controller,Industrial ESC,35,50,6-12S,SimonK,DShot600,16x16,5V 5A,Heatsink,Industrial,Industrial UAV
ESC-0179,AxisFlying,ESC,Electronic Speed Controller,4-in-1 ESC,55,70,4-8S,SimonK,Multishot,16x16,5V 3A,Passive,FPV,Freestyle FPV
ESC-0180,Holybro,ESC,Electronic Speed Controller,4-in-1 ESC,55,70,3-6S,BLHeli_S,Multishot,20x20,10V 2A,Heatsink,FPV,Cinematic FPV
ESC-0181,Foxeer,ESC,Electronic Speed Controller,Industrial ESC,55,60,4-8S,BLHeli_S,Multishot,20x20,5V 5A,Active Cooling,FPV,Long Range FPV
ESC-0182,AxisFlying,ESC,Electronic Speed Controller,Single ESC,30,40,3-6S,BLHeli_32,Oneshot125,20x20,5V 5A,Passive,FPV,Freestyle FPV
ESC-0183,SpeedyBee,ESC,Electronic Speed Controller,Stack ESC,100,120,2-4S,AM32,DShot1200,30x30,5V 3A,Passive,FPV,Long Range FPV
ESC-0184,T-Motor,ESC,Electronic Speed Controller,Single ESC,55,75,4-8S,AM32,DShot600,16x16,10V 2A,Active Cooling,FPV,Long Range FPV
ESC-0185,Lumenier,ESC,Electronic Speed Controller,Industrial ESC,20,40,6-12S,SimonK,DShot300,30x30,5V 5A,Active Cooling,FPV,Racing FPV
ESC-0186,Foxeer,ESC,Electronic Speed Controller,Single ESC,35,55,2-4S,BLHeli_S,DShot300,20x20,5V 2A,Passive,FPV,Long Range FPV
ESC-0187,RushFPV,ESC,Electronic Speed Controller,4-in-1 ESC,20,35,2-4S,AM32,DShot1200,30x30,5V 3A,Active Cooling,FPV,Cinematic FPV
ESC-0188,Foxeer,ESC,Electronic Speed Controller,Stack ESC,60,65,2-4S,AM32,Multishot,16x16,10V 2A,Passive,FPV,Cinematic FPV
ESC-0189,iFlight,ESC,Electronic Speed Controller,4-in-1 ESC,65,75,4-8S,SimonK,DShot1200,30x30,5V 3A,Passive,FPV,Cinematic FPV
ESC-0190,AxisFlying,ESC,Electronic Speed Controller,Industrial ESC,30,35,6-12S,SimonK,DShot1200,16x16,5V 2A,Passive,FPV,Racing FPV
ESC-0191,Holybro,ESC,Electronic Speed Controller,Industrial ESC,40,55,2-4S,BLHeli_32,DShot300,16x16,N/A,Passive,FPV,Freestyle FPV
ESC-0192,HGLRC,ESC,Electronic Speed Controller,Single ESC,35,45,3-6S,BLHeli_S,DShot1200,16x16,5V 5A,Passive,FPV,Racing FPV
ESC-0193,TBS,ESC,Electronic Speed Controller,Single ESC,60,65,6-12S,BLHeli_S,Multishot,30x30,5V 5A,Heatsink,FPV,Racing FPV
ESC-0194,Skystars,ESC,Electronic Speed Controller,4-in-1 ESC,55,70,6-12S,SimonK,DShot300,16x16,10V 2A,Heatsink,Industrial,Industrial UAV
ESC-0195,Hobbywing,ESC,Electronic Speed Controller,Industrial ESC,55,70,3-6S,BLHeli_S,DShot1200,16x16,5V 3A,Active Cooling,FPV,Long Range FPV
ESC-0196,Skystars,ESC,Electronic Speed Controller,Stack ESC,80,100,2-4S,BLHeli_S,DShot1200,16x16,5V 3A,Passive,FPV,Racing FPV
ESC-0197,SpeedyBee,ESC,Electronic Speed Controller,4-in-1 ESC,65,80,4-8S,SimonK,DShot300,30x30,10V 2A,Active Cooling,FPV,Cinematic FPV
ESC-0198,T-Motor,ESC,Electronic Speed Controller,Single ESC,45,50,6-12S,BLHeli_S,DShot300,16x16,5V 5A,Passive,FPV,Cinematic FPV
ESC-0199,Lumenier,ESC,Electronic Speed Controller,Stack ESC,30,45,3-6S,AM32,Oneshot125,16x16,5V 3A,Passive,Industrial,Industrial UAV
ESC-0200,SpeedyBee,ESC,Electronic Speed Controller,Stack ESC,40,45,2-4S,BLHeli_S,DShot300,16x16,5V 3A,Heatsink,Industrial,Industrial UAV
ESC-0201,T-Motor,ESC,Electronic Speed Controller,Industrial ESC,45,55,6-12S,BLHeli_S,DShot1200,20x20,5V 2A,Active Cooling,FPV,Racing FPV
ESC-0202,Lumenier,ESC,Electronic Speed Controller,Industrial ESC,55,70,3-6S,BLHeli_S,Oneshot125,16x16,5V 3A,Active Cooling,Industrial,Industrial UAV
ESC-0203,AxisFlying,ESC,Electronic Speed Controller,4-in-1 ESC,20,30,3-6S,SimonK,DShot300,30x30,5V 5A,Heatsink,FPV,Freestyle FPV
ESC-0204,Hobbywing,ESC,Electronic Speed Controller,4-in-1 ESC,35,50,4-8S,BLHeli_S,Multishot,20x20,5V 2A,Heatsink,FPV,Long Range FPV
ESC-0205,Holybro,ESC,Electronic Speed Controller,Single ESC,35,45,2-4S,AM32,Oneshot125,16x16,5V 3A,Heatsink,FPV,Racing FPV
ESC-0206,Lumenier,ESC,Electronic Speed Controller,4-in-1 ESC,80,95,4-8S,BLHeli_32,DShot1200,20x20,N/A,Heatsink,FPV,Cinematic FPV
ESC-0207,Holybro,ESC,Electronic Speed Controller,Industrial ESC,55,70,3-6S,AM32,Multishot,16x16,5V 3A,Heatsink,FPV,Freestyle FPV
ESC-0208,Diatone,ESC,Electronic Speed Controller,Industrial ESC,50,65,3-6S,BLHeli_32,DShot600,20x20,5V 2A,Heatsink,FPV,Freestyle FPV
ESC-0209,HGLRC,ESC,Electronic Speed Controller,Single ESC,40,55,6-12S,BLHeli_32,Oneshot125,30x30,N/A,Active Cooling,FPV,Racing FPV
ESC-0210,Skystars,ESC,Electronic Speed Controller,4-in-1 ESC,50,55,2-4S,AM32,DShot300,16x16,5V 5A,Active Cooling,FPV,Long Range FPV
ESC-0211,Foxeer,ESC,Electronic Speed Controller,Single ESC,80,90,2-4S,BLHeli_S,Multishot,20x20,N/A,Active Cooling,FPV,Freestyle FPV
ESC-0212,Lumenier,ESC,Electronic Speed Controller,Stack ESC,60,80,2-4S,BLHeli_32,DShot300,20x20,5V 2A,Passive,FPV,Racing FPV
ESC-0213,Diatone,ESC,Electronic Speed Controller,Stack ESC,65,80,4-8S,BLHeli_32,DShot600,20x20,5V 3A,Heatsink,FPV,Racing FPV
ESC-0214,iFlight,ESC,Electronic Speed Controller,Industrial ESC,80,95,6-12S,SimonK,Multishot,20x20,5V 2A,Active Cooling,FPV,Cinematic FPV
ESC-0215,AxisFlying,ESC,Electronic Speed Controller,4-in-1 ESC,35,40,4-8S,SimonK,Oneshot125,16x16,N/A,Passive,FPV,Cinematic FPV
ESC-0216,AxisFlying,ESC,Electronic Speed Controller,Stack ESC,30,35,3-6S,BLHeli_S,DShot600,16x16,5V 3A,Heatsink,FPV,Freestyle FPV
ESC-0217,RushFPV,ESC,Electronic Speed Controller,Single ESC,55,60,4-8S,BLHeli_32,DShot300,16x16,10V 2A,Active Cooling,Industrial,Industrial UAV
ESC-0218,Skystars,ESC,Electronic Speed Controller,Industrial ESC,60,80,4-8S,BLHeli_S,Multishot,30x30,N/A,Heatsink,FPV,Racing FPV
ESC-0219,Skystars,ESC,Electronic Speed Controller,4-in-1 ESC,20,25,4-8S,SimonK,Multishot,30x30,N/A,Heatsink,FPV,Racing FPV
ESC-0220,AxisFlying,ESC,Electronic Speed Controller,Single ESC,100,115,3-6S,BLHeli_32,Oneshot125,16x16,5V 2A,Passive,FPV,Long Range FPV
ESC-0221,HGLRC,ESC,Electronic Speed Controller,Single ESC,80,85,6-12S,SimonK,Oneshot125,16x16,10V 2A,Passive,FPV,Cinematic FPV
ESC-0222,Diatone,ESC,Electronic Speed Controller,Single ESC,60,70,3-6S,BLHeli_S,Oneshot125,20x20,10V 2A,Active Cooling,FPV,Racing FPV
ESC-0223,Holybro,ESC,Electronic Speed Controller,Stack ESC,45,60,2-4S,AM32,DShot300,16x16,N/A,Active Cooling,Industrial,Industrial UAV
ESC-0224,HGLRC,ESC,Electronic Speed Controller,Industrial ESC,20,35,2-4S,SimonK,DShot300,20x20,5V 3A,Passive,Industrial,Industrial UAV
ESC-0225,Skystars,ESC,Electronic Speed Controller,Single ESC,80,85,4-8S,BLHeli_S,DShot300,20x20,N/A,Heatsink,Industrial,Industrial UAV
ESC-0226,Holybro,ESC,Electronic Speed Controller,Industrial ESC,50,65,2-4S,BLHeli_32,DShot600,30x30,10V 2A,Passive,FPV,Cinematic FPV
ESC-0227,Diatone,ESC,Electronic Speed Controller,Single ESC,100,105,3-6S,BLHeli_32,Multishot,30x30,5V 2A,Passive,FPV,Freestyle FPV
ESC-0228,HGLRC,ESC,Electronic Speed Controller,Stack ESC,50,70,3-6S,BLHeli_S,Multishot,20x20,10V 2A,Heatsink,FPV,Cinematic FPV
ESC-0229,Flywoo,ESC,Electronic Speed Controller,Industrial ESC,30,35,2-4S,BLHeli_32,DShot300,30x30,N/A,Heatsink,FPV,Freestyle FPV
ESC-0230,Lumenier,ESC,Electronic Speed Controller,4-in-1 ESC,35,40,6-12S,AM32,DShot1200,20x20,5V 2A,Heatsink,Industrial,Industrial UAV
ESC-0231,Holybro,ESC,Electronic Speed Controller,4-in-1 ESC,20,25,3-6S,BLHeli_S,DShot300,16x16,5V 2A,Active Cooling,FPV,Cinematic FPV
ESC-0232,HGLRC,ESC,Electronic Speed Controller,Stack ESC,65,75,4-8S,AM32,DShot600,16x16,5V 3A,Heatsink,FPV,Long Range FPV
ESC-0233,Foxeer,ESC,Electronic Speed Controller,Single ESC,20,30,3-6S,BLHeli_S,Multishot,16x16,10V 2A,Active Cooling,FPV,Freestyle FPV
ESC-0234,HGLRC,ESC,Electronic Speed Controller,Stack ESC,65,70,6-12S,BLHeli_S,DShot1200,30x30,N/A,Active Cooling,FPV,Racing FPV
ESC-0235,iFlight,ESC,Electronic Speed Controller,Industrial ESC,40,60,6-12S,AM32,DShot300,20x20,N/A,Active Cooling,Industrial,Industrial UAV
ESC-0236,Aikon,ESC,Electronic Speed Controller,Single ESC,30,50,3-6S,AM32,Oneshot125,30x30,5V 5A,Heatsink,FPV,Long Range FPV
ESC-0237,HGLRC,ESC,Electronic Speed Controller,Industrial ESC,20,35,3-6S,AM32,Oneshot125,20x20,N/A,Heatsink,FPV,Freestyle FPV
ESC-0238,SpeedyBee,ESC,Electronic Speed Controller,4-in-1 ESC,55,75,3-6S,BLHeli_32,DShot600,16x16,10V 2A,Passive,FPV,Long Range FPV
ESC-0239,Skystars,ESC,Electronic Speed Controller,Stack ESC,40,60,3-6S,BLHeli_S,Oneshot125,30x30,5V 2A,Passive,Industrial,Industrial UAV
ESC-0240,Diatone,ESC,Electronic Speed Controller,4-in-1 ESC,20,40,2-4S,BLHeli_32,DShot600,30x30,5V 2A,Heatsink,FPV,Long Range FPV
ESC-0241,Diatone,ESC,Electronic Speed Controller,4-in-1 ESC,35,50,4-8S,AM32,DShot300,30x30,N/A,Passive,FPV,Racing FPV
ESC-0242,Foxeer,ESC,Electronic Speed Controller,Single ESC,80,100,2-4S,BLHeli_32,DShot1200,30x30,10V 2A,Passive,FPV,Cinematic FPV
ESC-0243,RushFPV,ESC,Electronic Speed Controller,4-in-1 ESC,30,50,2-4S,BLHeli_32,DShot600,20x20,5V 2A,Heatsink,FPV,Racing FPV
ESC-0244,Hobbywing,ESC,Electronic Speed Controller,Stack ESC,60,75,3-6S,SimonK,DShot600,20x20,N/A,Heatsink,FPV,Racing FPV
ESC-0245,Lumenier,ESC,Electronic Speed Controller,Industrial ESC,30,50,2-4S,BLHeli_S,Multishot,16x16,N/A,Passive,FPV,Cinematic FPV
ESC-0246,Hobbywing,ESC,Electronic Speed Controller,Stack ESC,100,120,4-8S,SimonK,DShot1200,20x20,10V 2A,Heatsink,FPV,Freestyle FPV
ESC-0247,Aikon,ESC,Electronic Speed Controller,Stack ESC,50,65,3-6S,BLHeli_32,Multishot,16x16,5V 2A,Passive,FPV,Long Range FPV
ESC-0248,Flywoo,ESC,Electronic Speed Controller,4-in-1 ESC,55,70,2-4S,SimonK,DShot600,30x30,5V 5A,Passive,FPV,Freestyle FPV
ESC-0249,Skystars,ESC,Electronic Speed Controller,Stack ESC,55,75,2-4S,AM32,Oneshot125,30x30,5V 2A,Passive,FPV,Freestyle FPV
ESC-0250,TBS,ESC,Electronic Speed Controller,Stack ESC,65,70,4-8S,SimonK,DShot1200,16x16,5V 5A,Passive,FPV,Racing FPV
ESC-0251,Diatone,ESC,Electronic Speed Controller,Stack ESC,65,75,3-6S,AM32,Oneshot125,20x20,10V 2A,Passive,FPV,Racing FPV
ESC-0252,SpeedyBee,ESC,Electronic Speed Controller,Industrial ESC,65,85,4-8S,BLHeli_32,DShot600,30x30,5V 2A,Passive,FPV,Freestyle FPV
ESC-0253,Foxeer,ESC,Electronic Speed Controller,Single ESC,80,95,4-8S,BLHeli_S,DShot300,30x30,5V 2A,Passive,FPV,Long Range FPV
ESC-0254,GEPRC,ESC,Electronic Speed Controller,Industrial ESC,60,75,6-12S,AM32,DShot600,20x20,5V 5A,Active Cooling,FPV,Freestyle FPV
ESC-0255,SpeedyBee,ESC,Electronic Speed Controller,4-in-1 ESC,55,65,3-6S,BLHeli_32,Oneshot125,16x16,N/A,Active Cooling,FPV,Racing FPV
ESC-0256,HGLRC,ESC,Electronic Speed Controller,Single ESC,55,75,2-4S,BLHeli_32,DShot300,16x16,5V 2A,Passive,Industrial,Industrial UAV
ESC-0257,Skystars,ESC,Electronic Speed Controller,4-in-1 ESC,60,65,6-12S,AM32,DShot600,30x30,5V 2A,Active Cooling,FPV,Long Range FPV
ESC-0258,GEPRC,ESC,Electronic Speed Controller,4-in-1 ESC,60,75,4-8S,SimonK,DShot300,16x16,N/A,Active Cooling,FPV,Racing FPV
ESC-0259,RushFPV,ESC,Electronic Speed Controller,Industrial ESC,80,85,3-6S,BLHeli_S,DShot600,30x30,5V 3A,Active Cooling,FPV,Freestyle FPV
ESC-0260,HGLRC,ESC,Electronic Speed Controller,Stack ESC,45,55,3-6S,BLHeli_32,Oneshot125,30x30,10V 2A,Active Cooling,FPV,Racing FPV
ESC-0261,Foxeer,ESC,Electronic Speed Controller,4-in-1 ESC,30,50,4-8S,SimonK,DShot300,16x16,10V 2A,Heatsink,FPV,Long Range FPV
ESC-0262,Skystars,ESC,Electronic Speed Controller,4-in-1 ESC,80,100,4-8S,SimonK,DShot600,16x16,5V 3A,Heatsink,FPV,Cinematic FPV
ESC-0263,Skystars,ESC,Electronic Speed Controller,Stack ESC,20,40,2-4S,AM32,DShot1200,30x30,10V 2A,Active Cooling,FPV,Racing FPV
ESC-0264,HGLRC,ESC,Electronic Speed Controller,Industrial ESC,100,120,3-6S,AM32,DShot300,20x20,10V 2A,Passive,FPV,Freestyle FPV
ESC-0265,Lumenier,ESC,Electronic Speed Controller,Stack ESC,55,60,6-12S,AM32,Multishot,30x30,N/A,Active Cooling,FPV,Freestyle FPV
ESC-0266,Aikon,ESC,Electronic Speed Controller,4-in-1 ESC,65,85,2-4S,SimonK,DShot300,16x16,5V 2A,Passive,FPV,Racing FPV
ESC-0267,GEPRC,ESC,Electronic Speed Controller,Single ESC,80,90,4-8S,BLHeli_32,DShot600,20x20,10V 2A,Heatsink,FPV,Racing FPV
ESC-0268,HGLRC,ESC,Electronic Speed Controller,Single ESC,80,95,6-12S,SimonK,Oneshot125,30x30,5V 2A,Active Cooling,FPV,Freestyle FPV
ESC-0269,T-Motor,ESC,Electronic Speed Controller,4-in-1 ESC,60,80,2-4S,SimonK,DShot300,20x20,5V 3A,Active Cooling,Industrial,Industrial UAV
ESC-0270,SpeedyBee,ESC,Electronic Speed Controller,Stack ESC,40,45,6-12S,AM32,DShot1200,16x16,5V 2A,Heatsink,Industrial,Industrial UAV
ESC-0271,TBS,ESC,Electronic Speed Controller,4-in-1 ESC,50,65,6-12S,BLHeli_S,DShot600,16x16,5V 3A,Active Cooling,FPV,Freestyle FPV
ESC-0272,Skystars,ESC,Electronic Speed Controller,Single ESC,55,60,6-12S,SimonK,DShot1200,30x30,10V 2A,Heatsink,FPV,Freestyle FPV
ESC-0273,Flywoo,ESC,Electronic Speed Controller,Stack ESC,65,70,6-12S,BLHeli_32,DShot1200,30x30,5V 5A,Active Cooling,FPV,Racing FPV
ESC-0274,T-Motor,ESC,Electronic Speed Controller,Stack ESC,80,90,3-6S,AM32,DShot1200,20x20,10V 2A,Active Cooling,FPV,Racing FPV
ESC-0275,AxisFlying,ESC,Electronic Speed Controller,Industrial ESC,30,40,3-6S,BLHeli_S,DShot600,30x30,5V 5A,Heatsink,FPV,Cinematic FPV
ESC-0276,GEPRC,ESC,Electronic Speed Controller,Stack ESC,65,70,3-6S,SimonK,DShot300,20x20,5V 2A,Active Cooling,FPV,Racing FPV
ESC-0277,AxisFlying,ESC,Electronic Speed Controller,Single ESC,30,45,6-12S,SimonK,Multishot,16x16,5V 5A,Passive,FPV,Racing FPV
ESC-0278,SpeedyBee,ESC,Electronic Speed Controller,Single ESC,55,60,6-12S,BLHeli_S,Multishot,20x20,5V 3A,Heatsink,FPV,Cinematic FPV
ESC-0279,HGLRC,ESC,Electronic Speed Controller,4-in-1 ESC,35,45,6-12S,BLHeli_32,DShot1200,20x20,5V 3A,Active Cooling,Industrial,Industrial UAV
ESC-0280,iFlight,ESC,Electronic Speed Controller,Single ESC,60,80,4-8S,BLHeli_S,Oneshot125,20x20,5V 2A,Active Cooling,Industrial,Industrial UAV
ESC-0281,SpeedyBee,ESC,Electronic Speed Controller,4-in-1 ESC,55,60,3-6S,SimonK,Multishot,16x16,5V 5A,Active Cooling,FPV,Freestyle FPV
ESC-0282,Diatone,ESC,Electronic Speed Controller,Industrial ESC,40,60,4-8S,BLHeli_S,DShot300,16x16,5V 3A,Heatsink,FPV,Racing FPV
ESC-0283,TBS,ESC,Electronic Speed Controller,Single ESC,55,70,6-12S,BLHeli_S,DShot600,16x16,5V 2A,Active Cooling,FPV,Racing FPV
ESC-0284,Diatone,ESC,Electronic Speed Controller,4-in-1 ESC,30,50,4-8S,AM32,DShot600,30x30,5V 5A,Heatsink,FPV,Long Range FPV
ESC-0285,Skystars,ESC,Electronic Speed Controller,Stack ESC,40,60,2-4S,SimonK,DShot1200,30x30,N/A,Heatsink,FPV,Cinematic FPV
ESC-0286,Skystars,ESC,Electronic Speed Controller,Single ESC,80,100,3-6S,BLHeli_S,DShot600,20x20,N/A,Passive,Industrial,Industrial UAV
ESC-0287,SpeedyBee,ESC,Electronic Speed Controller,Industrial ESC,40,60,6-12S,SimonK,Oneshot125,20x20,5V 2A,Active Cooling,FPV,Cinematic FPV
ESC-0288,Flywoo,ESC,Electronic Speed Controller,Stack ESC,40,50,6-12S,BLHeli_S,Multishot,30x30,5V 5A,Heatsink,FPV,Racing FPV
ESC-0289,Diatone,ESC,Electronic Speed Controller,Single ESC,30,50,4-8S,AM32,Oneshot125,16x16,5V 2A,Passive,FPV,Racing FPV
ESC-0290,Lumenier,ESC,Electronic Speed Controller,Stack ESC,60,75,3-6S,AM32,Oneshot125,30x30,5V 2A,Active Cooling,FPV,Long Range FPV
ESC-0291,SpeedyBee,ESC,Electronic Speed Controller,Industrial ESC,60,80,4-8S,BLHeli_32,Multishot,30x30,N/A,Heatsink,FPV,Long Range FPV
ESC-0292,T-Motor,ESC,Electronic Speed Controller,Stack ESC,60,65,4-8S,AM32,DShot1200,16x16,5V 3A,Heatsink,FPV,Freestyle FPV
ESC-0293,Flywoo,ESC,Electronic Speed Controller,Single ESC,40,60,3-6S,BLHeli_S,Multishot,16x16,5V 3A,Active Cooling,FPV,Racing FPV
ESC-0294,GEPRC,ESC,Electronic Speed Controller,Single ESC,40,55,6-12S,AM32,DShot1200,20x20,10V 2A,Passive,FPV,Long Range FPV
ESC-0295,HGLRC,ESC,Electronic Speed Controller,Industrial ESC,100,115,3-6S,SimonK,DShot1200,16x16,5V 3A,Passive,FPV,Freestyle FPV
ESC-0296,Hobbywing,ESC,Electronic Speed Controller,Stack ESC,80,95,2-4S,BLHeli_32,DShot600,20x20,10V 2A,Passive,FPV,Racing FPV
ESC-0297,Flywoo,ESC,Electronic Speed Controller,Single ESC,80,95,4-8S,BLHeli_32,DShot1200,16x16,N/A,Active Cooling,FPV,Freestyle FPV
ESC-0298,T-Motor,ESC,Electronic Speed Controller,Stack ESC,20,25,6-12S,SimonK,Multishot,16x16,5V 3A,Passive,Industrial,Industrial UAV
ESC-0299,Diatone,ESC,Electronic Speed Controller,Single ESC,100,105,4-8S,AM32,Oneshot125,30x30,10V 2A,Active Cooling,FPV,Freestyle FPV
ESC-0300,GEPRC,ESC,Electronic Speed Controller,4-in-1 ESC,100,115,2-4S,AM32,DShot300,30x30,5V 2A,Active Cooling,FPV,Cinematic FPV
