RadioID,Brand,Category,SubCategory,DeviceType,Protocol,FrequencyBand,ChannelCount,TelemetrySupport,AntennaType,ConnectorType,PowerOutput_mW,SupportedDroneType,IntendedUse
RAD-0174,Walksnail,Radio & Receivers,RC Control System,Radio Transmitter,ELRS,868MHz,24,No,Internal,SMA,25,FPV,General FPV
RAD-0175,Jumper,Radio & Receivers,RC Control System,Radio Transmitter,DSMX,900MHz,10,Yes,Internal,RP-SMA,250,FPV,Racing
RAD-0176,Happymodel,Radio & Receivers,RC Control System,ELRS Receiver,ELRS,2.4GHz,24,Yes,External,SMA,25,Fixed Wing,Fixed Wing
RAD-0177,Futaba,Radio & Receivers,RC Control System,Long Range Receiver,AFHDS 2A,900MHz,16,Yes,External,SMA,100,FPV,Long Range FPV
RAD-0178,Happymodel,Radio & Receivers,RC Control System,Receiver,CRSF,900MHz,24,No,External,Ipex,25,FPV,General FPV
RAD-0179,Foxeer,Radio & Receivers,RC Control System,Radio Transmitter,CRSF,868MHz,10,Yes,Internal,Ipex,250,FPV,General FPV
RAD-0180,FlySky,Radio & Receivers,RC Control System,ELRS Receiver,ELRS,900MHz,12,Yes,Internal,U.FL,250,Industrial,Industrial UAV
RAD-0181,Futaba,Radio & Receivers,RC Control System,Radio Transmitter,ACCESS,2.4GHz,6,No,Internal,U.FL,100,Industrial,Industrial UAV
RAD-0182,FlySky,Radio & Receivers,RC Control System,ELRS Receiver,AFHDS 2A,868MHz,24,No,Internal,Ipex,250,FPV,Freestyle FPV
RAD-0183,FrSky,Radio & Receivers,RC Control System,Radio Transmitter,ELRS,900MHz,10,Yes,Internal,U.FL,250,Industrial,Industrial UAV
RAD-0184,FrSky,Radio & Receivers,RC Control System,ELRS Receiver,DSM2,868MHz,24,No,Dual Diversity,SMA,25,FPV,Racing
RAD-0185,ImmersionRC,Radio & Receivers,RC Control System,Radio Transmitter,SBUS,900MHz,12,Yes,Internal,RP-SMA,25,Multirotor,Trainer RC
RAD-0186,Foxeer,Radio & Receivers,RC Control System,Receiver,DSMX,2.4GHz,16,No,Internal,Ipex,25,FPV,General FPV
RAD-0187,FlySky,Radio & Receivers,RC Control System,Long Range Receiver,AFHDS 2A,868MHz,16,No,Dual Diversity,Ipex,250,Fixed Wing,Fixed Wing
RAD-0188,Spektrum,Radio & Receivers,RC Control System,ELRS Receiver,ACCESS,900MHz,6,No,External,SMA,250,FPV,Racing
RAD-0189,FrSky,Radio & Receivers,RC Control System,ELRS Receiver,DSM2,868MHz,16,Yes,Dual Diversity,U.FL,250,Fixed Wing,Fixed Wing
RAD-0190,Happymodel,Radio & Receivers,RC Control System,ELRS Receiver,SBUS,900MHz,8,Yes,Dual Diversity,RP-SMA,1000,Fixed Wing,Fixed Wing
RAD-0191,Walksnail,Radio & Receivers,RC Control System,Radio Transmitter,ACCESS,900MHz,12,Yes,Dual Diversity,Ipex,25,Fixed Wing,Fixed Wing
RAD-0192,Foxeer,Radio & Receivers,RC Control System,Receiver,DSMX,2.4GHz,24,No,Dual Diversity,U.FL,1000,FPV,Long Range FPV
RAD-0193,TBS,Radio & Receivers,RC Control System,Long Range Receiver,AFHDS 2A,2.4GHz,12,No,Dual Diversity,U.FL,500,FPV,General FPV
RAD-0194,ImmersionRC,Radio & Receivers,RC Control System,Receiver,ACCESS,2.4GHz,16,Yes,Internal,U.FL,500,Multirotor,Trainer RC
RAD-0195,Futaba,Radio & Receivers,RC Control System,Long Range Receiver,DSM2,2.4GHz,6,Yes,External,RP-SMA,250,FPV,General FPV
RAD-0196,TBS,Radio & Receivers,RC Control System,Long Range Receiver,DSMX,868MHz,24,Yes,Dual Diversity,Ipex,250,Fixed Wing,Fixed Wing
RAD-0197,FlySky,Radio & Receivers,RC Control System,Receiver,AFHDS 2A,2.4GHz,16,Yes,Internal,SMA,250,FPV,Racing
RAD-0198,Radiomaster,Radio & Receivers,RC Control System,Radio Transmitter,DSM2,2.4GHz,8,Yes,External,RP-SMA,25,FPV,Freestyle FPV
RAD-0199,FlySky,Radio & Receivers,RC Control System,ELRS Receiver,ACCESS,900MHz,8,No,Dual Diversity,SMA,500,FPV,Racing
RAD-0200,Spektrum,Radio & Receivers,RC Control System,Long Range Receiver,SBUS,868MHz,6,Yes,External,SMA,250,Industrial,Industrial UAV
RAD-0201,FlySky,Radio & Receivers,RC Control System,Receiver,DSMX,2.4GHz,8,Yes,External,U.FL,25,FPV,General FPV
RAD-0202,ImmersionRC,Radio & Receivers,RC Control System,ELRS Receiver,ELRS,900MHz,6,No,Dual Diversity,RP-SMA,25,FPV,General FPV
RAD-0203,FrSky,Radio & Receivers,RC Control System,Radio Transmitter,ELRS,868MHz,16,No,Internal,RP-SMA,1000,FPV,Racing
RAD-0204,Futaba,Radio & Receivers,RC Control System,ELRS Receiver,AFHDS 2A,2.4GHz,12,Yes,External,Ipex,250,FPV,Racing
RAD-0205,FlySky,Radio & Receivers,RC Control System,Receiver,ACCST,2.4GHz,16,Yes,Internal,Ipex,500,FPV,Racing
RAD-0206,ImmersionRC,Radio & Receivers,RC Control System,Long Range Receiver,AFHDS 2A,868MHz,10,Yes,Internal,RP-SMA,500,FPV,Long Range FPV
RAD-0207,Foxeer,Radio & Receivers,RC Control System,ELRS Receiver,SBUS,868MHz,16,No,Internal,Ipex,500,Fixed Wing,Fixed Wing
RAD-0208,FrSky,Radio & Receivers,RC Control System,Receiver,DSM2,868MHz,6,No,External,U.FL,250,Fixed Wing,Fixed Wing
RAD-0209,FlySky,Radio & Receivers,RC Control System,Radio Transmitter,ELRS,900MHz,10,No,Dual Diversity,U.FL,250,Fixed Wing,Fixed Wing
RAD-0210,Spektrum,Radio & Receivers,RC Control System,Radio Transmitter,ACCST,868MHz,16,No,Internal,RP-SMA,100,FPV,Freestyle FPV
RAD-0211,Foxeer,Radio & Receivers,RC Control System,Receiver,DSMX,868MHz,12,No,Internal,U.FL,1000,Multirotor,Trainer RC
RAD-0212,Futaba,Radio & Receivers,RC Control System,Radio Transmitter,AFHDS 2A,868MHz,24,No,Internal,U.FL,1000,FPV,General FPV
RAD-0213,Futaba,Radio & Receivers,RC Control System,Long Range Receiver,DSM2,900MHz,6,No,Dual Diversity,U.FL,500,Industrial,Industrial UAV
RAD-0214,Spektrum,Radio & Receivers,RC Control System,Receiver,ACCESS,2.4GHz,6,Yes,External,RP-SMA,250,FPV,Long Range FPV
RAD-0215,FlySky,Radio & Receivers,RC Control System,Receiver,DSMX,868MHz,10,Yes,Dual Diversity,U.FL,500,Industrial,Industrial UAV
RAD-0216,FrSky,Radio & Receivers,RC Control System,Radio Transmitter,DSMX,868MHz,8,No,External,U.FL,250,FPV,Racing
RAD-0217,Radiomaster,Radio & Receivers,RC Control System,Radio Transmitter,CRSF,868MHz,24,Yes,Dual Diversity,SMA,1000,FPV,Freestyle FPV
RAD-0218,Spektrum,Radio & Receivers,RC Control System,Radio Transmitter,SBUS,900MHz,24,No,Internal,RP-SMA,100,Fixed Wing,Fixed Wing
RAD-0219,Spektrum,Radio & Receivers,RC Control System,Radio Transmitter,ACCESS,900MHz,6,No,External,Ipex,500,FPV,Racing
RAD-0220,TBS,Radio & Receivers,RC Control System,ELRS Receiver,SBUS,868MHz,16,No,Dual Diversity,U.FL,500,FPV,General FPV
RAD-0221,TBS,Radio & Receivers,RC Control System,Radio Transmitter,AFHDS 2A,868MHz,24,Yes,Dual Diversity,U.FL,1000,Fixed Wing,Fixed Wing
RAD-0222,Happymodel,Radio & Receivers,RC Control System,Long Range Receiver,DSMX,900MHz,8,Yes,External,SMA,1000,FPV,General FPV
RAD-0223,ImmersionRC,Radio & Receivers,RC Control System,Radio Transmitter,DSMX,900MHz,12,No,Internal,U.FL,250,Multirotor,Trainer RC
RAD-0224,FlySky,Radio & Receivers,RC Control System,ELRS Receiver,DSM2,900MHz,8,Yes,Internal,RP-SMA,250,FPV,General FPV
RAD-0225,Happymodel,Radio & Receivers,RC Control System,ELRS Receiver,DSMX,2.4GHz,8,No,External,SMA,100,FPV,Freestyle FPV
RAD-0226,ImmersionRC,Radio & Receivers,RC Control System,Receiver,SBUS,868MHz,24,Yes,Internal,RP-SMA,250,FPV,Long Range FPV
RAD-0227,Radiomaster,Radio & Receivers,RC Control System,Radio Transmitter,CRSF,900MHz,6,No,Internal,SMA,250,Industrial,Industrial UAV
RAD-0228,Happymodel,Radio & Receivers,RC Control System,Radio Transmitter,ELRS,900MHz,10,No,Internal,RP-SMA,100,Multirotor,Trainer RC
RAD-0229,Futaba,Radio & Receivers,RC Control System,ELRS Receiver,DSM2,2.4GHz,12,No,Dual Diversity,SMA,250,Multirotor,Trainer RC
RAD-0230,Radiomaster,Radio & Receivers,RC Control System,Long Range Receiver,ACCST,900MHz,6,No,Dual Diversity,Ipex,100,FPV,Racing
RAD-0231,ImmersionRC,Radio & Receivers,RC Control System,Receiver,ACCESS,900MHz,24,Yes,Internal,Ipex,25,FPV,Long Range FPV
RAD-0232,FlySky,Radio & Receivers,RC Control System,ELRS Receiver,CRSF,868MHz,24,No,Dual Diversity,U.FL,100,Industrial,Industrial UAV
RAD-0233,Spektrum,Radio & Receivers,RC Control System,ELRS Receiver,SBUS,2.4GHz,24,Yes,Dual Diversity,SMA,25,Fixed Wing,Fixed Wing
RAD-0234,Happymodel,Radio & Receivers,RC Control System,Receiver,DSMX,868MHz,16,No,Internal,RP-SMA,100,Fixed Wing,Fixed Wing
RAD-0235,Radiomaster,Radio & Receivers,RC Control System,Receiver,DSMX,2.4GHz,24,Yes,External,Ipex,25,FPV,Freestyle FPV
RAD-0236,BetaFPV,Radio & Receivers,RC Control System,Receiver,CRSF,900MHz,10,No,Internal,Ipex,250,FPV,General FPV
RAD-0237,Spektrum,Radio & Receivers,RC Control System,ELRS Receiver,AFHDS 2A,868MHz,10,Yes,Internal,SMA,100,FPV,Freestyle FPV
RAD-0238,TBS,Radio & Receivers,RC Control System,Receiver,ACCESS,900MHz,16,Yes,Dual Diversity,U.FL,1000,FPV,Racing
RAD-0239,TBS,Radio & Receivers,RC Control System,ELRS Receiver,ACCST,2.4GHz,16,Yes,Internal,SMA,25,FPV,General FPV
RAD-0240,Radiomaster,Radio & Receivers,RC Control System,Long Range Receiver,CRSF,900MHz,24,No,Dual Diversity,RP-SMA,25,FPV,Freestyle FPV
RAD-0241,Walksnail,Radio & Receivers,RC Control System,Receiver,ELRS,900MHz,12,No,Internal,U.FL,250,FPV,Long Range FPV
RAD-0242,Foxeer,Radio & Receivers,RC Control System,Long Range Receiver,DSM2,2.4GHz,8,Yes,Internal,U.FL,100,Industrial,Industrial UAV
RAD-0243,BetaFPV,Radio & Receivers,RC Control System,Receiver,CRSF,868MHz,8,Yes,External,Ipex,100,Fixed Wing,Fixed Wing
RAD-0244,Walksnail,Radio & Receivers,RC Control System,Radio Transmitter,DSM2,2.4GHz,16,No,External,U.FL,500,FPV,General FPV
RAD-0245,Radiomaster,Radio & Receivers,RC Control System,Long Range Receiver,DSM2,900MHz,16,No,Internal,Ipex,25,FPV,General FPV
RAD-0246,Walksnail,Radio & Receivers,RC Control System,Receiver,ACCST,2.4GHz,10,Yes,External,Ipex,25,Fixed Wing,Fixed Wing
RAD-0247,Futaba,Radio & Receivers,RC Control System,Long Range Receiver,DSM2,2.4GHz,6,No,External,SMA,500,Multirotor,Trainer RC
RAD-0248,Foxeer,Radio & Receivers,RC Control System,ELRS Receiver,ELRS,900MHz,16,No,External,U.FL,500,FPV,Freestyle FPV
RAD-0249,Jumper,Radio & Receivers,RC Control System,Long Range Receiver,AFHDS 2A,2.4GHz,24,No,External,SMA,25,FPV,Long Range FPV
RAD-0250,BetaFPV,Radio & Receivers,RC Control System,Long Range Receiver,ACCESS,900MHz,12,No,Dual Diversity,SMA,500,FPV,Racing
RAD-0251,Futaba,Radio & Receivers,RC Control System,ELRS Receiver,ACCST,868MHz,8,Yes,Internal,SMA,1000,FPV,Freestyle FPV
RAD-0252,FrSky,Radio & Receivers,RC Control System,Long Range Receiver,CRSF,2.4GHz,24,Yes,Internal,U.FL,250,Multirotor,Trainer RC
RAD-0253,Happymodel,Radio & Receivers,RC Control System,Radio Transmitter,SBUS,868MHz,16,No,External,RP-SMA,100,Multirotor,Trainer RC
RAD-0254,FrSky,Radio & Receivers,RC Control System,ELRS Receiver,AFHDS 2A,868MHz,10,Yes,Dual Diversity,U.FL,25,Fixed Wing,Fixed Wing
RAD-0255,Spektrum,Radio & Receivers,RC Control System,ELRS Receiver,AFHDS 2A,2.4GHz,10,Yes,Dual Diversity,RP-SMA,100,Industrial,Industrial UAV
RAD-0256,Foxeer,Radio & Receivers,RC Control System,Receiver,DSM2,868MHz,16,No,Internal,RP-SMA,250,FPV,Long Range FPV
RAD-0257,ImmersionRC,Radio & Receivers,RC Control System,Long Range Receiver,CRSF,900MHz,12,Yes,Dual Diversity,SMA,500,FPV,Long Range FPV
RAD-0258,Foxeer,Radio & Receivers,RC Control System,Radio Transmitter,DSMX,900MHz,6,No,Dual Diversity,RP-SMA,250,FPV,Long Range FPV
RAD-0259,Happymodel,Radio & Receivers,RC Control System,Radio Transmitter,DSMX,900MHz,8,Yes,Internal,SMA,100,Industrial,Industrial UAV
RAD-0260,ImmersionRC,Radio & Receivers,RC Control System,Long Range Receiver,DSMX,900MHz,8,Yes,External,U.FL,250,FPV,General FPV
RAD-0261,BetaFPV,Radio & Receivers,RC Control System,Radio Transmitter,ELRS,900MHz,24,No,Internal,Ipex,1000,FPV,Freestyle FPV
RAD-0262,Happymodel,Radio & Receivers,RC Control System,ELRS Receiver,AFHDS 2A,2.4GHz,10,Yes,Dual Diversity,U.FL,500,Industrial,Industrial UAV
RAD-0263,Foxeer,Radio & Receivers,RC Control System,ELRS Receiver,SBUS,900MHz,6,Yes,Internal,Ipex,500,FPV,Freestyle FPV
RAD-0264,Spektrum,Radio & Receivers,RC Control System,Radio Transmitter,DSM2,868MHz,24,Yes,Internal,SMA,25,Industrial,Industrial UAV
RAD-0265,TBS,Radio & Receivers,RC Control System,Radio Transmitter,DSMX,900MHz,8,No,Dual Diversity,Ipex,250,FPV,Long Range FPV
RAD-0266,BetaFPV,Radio & Receivers,RC Control System,Long Range Receiver,ELRS,2.4GHz,10,Yes,Internal,SMA,250,Multirotor,Trainer RC
RAD-0267,Happymodel,Radio & Receivers,RC Control System,Radio Transmitter,AFHDS 2A,900MHz,8,No,Internal,RP-SMA,250,FPV,Freestyle FPV
RAD-0268,Jumper,Radio & Receivers,RC Control System,Radio Transmitter,SBUS,868MHz,10,Yes,Internal,RP-SMA,250,FPV,Long Range FPV
RAD-0269,Walksnail,Radio & Receivers,RC Control System,ELRS Receiver,DSM2,900MHz,6,Yes,External,SMA,25,Multirotor,Trainer RC
RAD-0270,Happymodel,Radio & Receivers,RC Control System,Radio Transmitter,ACCST,900MHz,10,Yes,External,RP-SMA,250,Industrial,Industrial UAV
RAD-0271,FlySky,Radio & Receivers,RC Control System,ELRS Receiver,ACCST,900MHz,6,Yes,External,SMA,500,Industrial,Industrial UAV
RAD-0272,Futaba,Radio & Receivers,RC Control System,Long Range Receiver,SBUS,2.4GHz,10,Yes,Dual Diversity,U.FL,1000,FPV,General FPV
RAD-0273,Spektrum,Radio & Receivers,RC Control System,Long Range Receiver,ELRS,868MHz,24,No,External,RP-SMA,1000,Multirotor,Trainer RC
RAD-0274,Walksnail,Radio & Receivers,RC Control System,Long Range Receiver,AFHDS 2A,2.4GHz,12,No,Dual Diversity,U.FL,500,FPV,Racing
RAD-0275,Walksnail,Radio & Receivers,RC Control System,Long Range Receiver,ELRS,2.4GHz,24,No,Internal,U.FL,25,Multirotor,Trainer RC
RAD-0276,FrSky,Radio & Receivers,RC Control System,Long Range Receiver,ACCST,868MHz,8,No,External,U.FL,25,FPV,Racing
RAD-0277,FlySky,Radio & Receivers,RC Control System,Long Range Receiver,ACCESS,2.4GHz,12,Yes,Internal,Ipex,250,Fixed Wing,Fixed Wing
RAD-0278,BetaFPV,Radio & Receivers,RC Control System,ELRS Receiver,CRSF,900MHz,24,Yes,Internal,RP-SMA,1000,FPV,Long Range FPV
RAD-0279,Walksnail,Radio & Receivers,RC Control System,Receiver,DSM2,900MHz,8,Yes,External,SMA,500,Industrial,Industrial UAV
RAD-0280,Foxeer,Radio & Receivers,RC Control System,Long Range Receiver,CRSF,900MHz,10,No,Dual Diversity,Ipex,1000,Industrial,Industrial UAV
RAD-0281,Spektrum,Radio & Receivers,RC Control System,ELRS Receiver,AFHDS 2A,2.4GHz,6,No,Dual Diversity,RP-SMA,100,FPV,Freestyle FPV
RAD-0282,FlySky,Radio & Receivers,RC Control System,Radio Transmitter,DSM2,868MHz,12,No,Internal,SMA,100,FPV,Freestyle FPV
RAD-0283,Foxeer,Radio & Receivers,RC Control System,Receiver,DSMX,868MHz,8,Yes,Internal,RP-SMA,250,Fixed Wing,Fixed Wing
RAD-0284,BetaFPV,Radio & Receivers,RC Control System,Radio Transmitter,AFHDS 2A,2.4GHz,24,Yes,Internal,Ipex,1000,FPV,Freestyle FPV
RAD-0285,FlySky,Radio & Receivers,RC Control System,Radio Transmitter,ACCESS,868MHz,10,No,External,RP-SMA,25,FPV,General FPV
RAD-0286,ImmersionRC,Radio & Receivers,RC Control System,Receiver,ACCST,900MHz,6,No,Dual Diversity,SMA,25,FPV,Long Range FPV
RAD-0287,Jumper,Radio & Receivers,RC Control System,ELRS Receiver,ACCESS,2.4GHz,16,No,Internal,U.FL,25,FPV,Long Range FPV
RAD-0288,FrSky,Radio & Receivers,RC Control System,Radio Transmitter,DSMX,868MHz,10,Yes,Internal,RP-SMA,25,FPV,Long Range FPV
RAD-0289,Foxeer,Radio & Receivers,RC Control System,Radio Transmitter,ACCST,868MHz,10,No,External,U.FL,500,FPV,Racing
RAD-0290,TBS,Radio & Receivers,RC Control System,Long Range Receiver,SBUS,2.4GHz,10,No,External,Ipex,1000,Multirotor,Trainer RC
RAD-0291,Foxeer,Radio & Receivers,RC Control System,Radio Transmitter,ELRS,900MHz,24,Yes,Internal,Ipex,1000,FPV,Long Range FPV
RAD-0292,Foxeer,Radio & Receivers,RC Control System,Radio Transmitter,CRSF,2.4GHz,6,Yes,Internal,RP-SMA,1000,FPV,Racing
RAD-0293,Futaba,Radio & Receivers,RC Control System,ELRS Receiver,DSMX,868MHz,12,No,External,Ipex,250,FPV,Freestyle FPV
RAD-0294,Happymodel,Radio & Receivers,RC Control System,ELRS Receiver,DSMX,868MHz,16,Yes,External,U.FL,25,Industrial,Industrial UAV
RAD-0295,FlySky,Radio & Receivers,RC Control System,Receiver,DSM2,2.4GHz,8,Yes,Dual Diversity,Ipex,250,FPV,Long Range FPV
RAD-0296,TBS,Radio & Receivers,RC Control System,Radio Transmitter,ELRS,900MHz,8,Yes,Internal,RP-SMA,1000,FPV,Freestyle FPV
RAD-0297,Radiomaster,Radio & Receivers,RC Control System,Receiver,SBUS,2.4GHz,16,No,Internal,RP-SMA,1000,Industrial,Industrial UAV
